Edge1-Edge2	KappaScore
GO:0000152 (term-term-ontology) GO:0000151	2.0
GO:0000776 (term-term) GO:0000775	0.8269317406413123
GO:0000776 (term-term-ontology) GO:0000775	2.0
GO:0000777 (term-term) GO:0000775	0.6985371826735989
GO:0000777 (term-term) GO:0000776	0.864537889985865
GO:0000777 (term-term-ontology) GO:0000776	2.0
GO:0000779 (term-term) GO:0000775	0.7471156844402856
GO:0000779 (term-term) GO:0000776	0.8330616210519394
GO:0000779 (term-term) GO:0000777	0.9474124769365939
GO:0000779 (term-term-ontology) GO:0000775	2.0
GO:0000779 (term-term-ontology) GO:0000777	2.0
GO:0000784 (term-term) GO:0000781	0.8615181873517225
GO:0000784 (term-term-ontology) GO:0000781	2.0
GO:0000785 (term-term) GO:0000228	0.6500210693053218
GO:0000790 (term-term) GO:0000228	0.7163796789467851
GO:0000790 (term-term) GO:0000785	0.7961211315698015
GO:0000790 (term-term-ontology) GO:0000785	2.0
GO:0000792 (term-term-ontology) GO:0000785	2.0
GO:0000793 (term-term) GO:0000775	0.6212074846914272
GO:0000793 (term-term) GO:0000776	0.5977089516779301
GO:0000793 (term-term) GO:0000777	0.6540783515978745
GO:0000793 (term-term) GO:0000779	0.7012309176860917
GO:0000793 (term-term-ontology) GO:0000777	2.0
GO:0000793 (term-term-ontology) GO:0000779	2.0
GO:0005634 (term-term-ontology) GO:0000152	2.0
GO:0005634 (term-term-ontology) GO:0000228	2.0
GO:0005634 (term-term-ontology) GO:0000784	2.0
GO:0005634 (term-term-ontology) GO:0000790	2.0
GO:0005643 (term-term-ontology) GO:0005635	2.0
GO:0005654 (term-term) GO:0005634	0.47776601940392643
GO:0005684 (term-term-ontology) GO:0005681	2.0
GO:0005694 (term-term) GO:0000228	0.7080774406210201
GO:0005694 (term-term) GO:0000785	0.6325213056081501
GO:0005694 (term-term) GO:0000790	0.46846560053930586
GO:0005694 (term-term-ontology) GO:0000228	2.0
GO:0005694 (term-term-ontology) GO:0000793	2.0
GO:0005694 (term-term-ontology) GO:0000803	2.0
GO:0005694 (term-term-ontology) GO:0005622	2.0
GO:0005740 (term-term) GO:0005739	0.5622046426357371
GO:0005743 (term-term) GO:0005739	0.4091174072874184
GO:0005743 (term-term) GO:0005740	0.7934921446567311
GO:0005746 (term-term-ontology) GO:0005743	2.0
GO:0005747 (term-term) GO:0005746	0.7117933932416128
GO:0005747 (term-term-ontology) GO:0005739	2.0
GO:0005747 (term-term-ontology) GO:0005746	2.0
GO:0005761 (term-term-ontology) GO:0005739	2.0
GO:0005761 (term-term-ontology) GO:0005759	2.0
GO:0005762 (term-term) GO:0005761	0.765706106123271
GO:0005762 (term-term-ontology) GO:0005761	2.0
GO:0005765 (term-term) GO:0005764	0.6921643805086313
GO:0005765 (term-term-ontology) GO:0005764	2.0
GO:0005769 (term-term) GO:0005768	0.5312270817023064
GO:0005769 (term-term-ontology) GO:0005768	2.0
GO:0005770 (term-term-ontology) GO:0005768	2.0
GO:0005773 (term-term) GO:0005764	0.9139334325322266
GO:0005773 (term-term) GO:0005765	0.6162646340949235
GO:0005774 (term-term) GO:0005764	0.6734473866743642
GO:0005774 (term-term) GO:0005765	0.927330249998277
GO:0005774 (term-term) GO:0005773	0.6800111911790556
GO:0005776 (term-term-ontology) GO:0005773	2.0
GO:0005802 (term-term-ontology) GO:0005794	2.0
GO:0005814 (term-term-ontology) GO:0005813	2.0
GO:0005815 (term-term) GO:0005813	0.860274774074728
GO:0005815 (term-term-ontology) GO:0005813	2.0
GO:0005819 (term-term) GO:0000922	0.594114408688255
GO:0005819 (term-term-ontology) GO:0000922	2.0
GO:0005829 (term-term-ontology) GO:0005737	2.0
GO:0005840 (term-term) GO:0005761	0.5059443541504952
GO:0005875 (term-term) GO:0005871	0.5671958274333418
GO:0005875 (term-term) GO:0005874	0.4073284034650024
GO:0005875 (term-term-ontology) GO:0005871	2.0
GO:0005876 (term-term-ontology) GO:0005819	2.0
GO:0005876 (term-term-ontology) GO:0005874	2.0
GO:0005912 (term-term) GO:0005911	0.5523282271115335
GO:0005913 (term-term) GO:0005911	0.7022410855900837
GO:0005913 (term-term) GO:0005912	0.6341357458805382
GO:0005913 (term-term-ontology) GO:0005911	2.0
GO:0005913 (term-term-ontology) GO:0005912	2.0
GO:0005924 (term-term) GO:0005912	0.7285938421658749
GO:0005924 (term-term-ontology) GO:0005912	2.0
GO:0005925 (term-term) GO:0005912	0.7261657611212304
GO:0005925 (term-term) GO:0005924	0.997376974950273
GO:0005925 (term-term-ontology) GO:0005924	2.0
GO:0010008 (term-term) GO:0005768	0.6654525565065408
GO:0010008 (term-term) GO:0005769	0.4338056830088901
GO:0010008 (term-term) GO:0005770	0.40728385228028585
GO:0012505 (term-term) GO:0005783	0.5236573902852153
GO:0012505 (term-term) GO:0005794	0.4888460301096624
GO:0012505 (term-term-ontology) GO:0005635	2.0
GO:0012505 (term-term-ontology) GO:0005768	2.0
GO:0012505 (term-term-ontology) GO:0005783	2.0
GO:0012505 (term-term-ontology) GO:0005794	2.0
GO:0012505 (term-term-ontology) GO:0005905	2.0
GO:0015630 (term-term) GO:0005813	0.6109141062749243
GO:0015630 (term-term) GO:0005815	0.7363034384640718
GO:0015630 (term-term) GO:0005819	0.4213314352352229
GO:0015630 (term-term) GO:0005874	0.5010628322676719
GO:0015630 (term-term-ontology) GO:0005815	2.0
GO:0015630 (term-term-ontology) GO:0005819	2.0
GO:0015630 (term-term-ontology) GO:0005874	2.0
GO:0015630 (term-term-ontology) GO:0005875	2.0
GO:0015934 (term-term) GO:0005761	0.5034998880711934
GO:0015934 (term-term) GO:0005762	0.5976384203214907
GO:0015934 (term-term) GO:0005840	0.6603685087762587
GO:0015935 (term-term) GO:0005840	0.45314314521091975
GO:0016459 (term-term-ontology) GO:0015629	2.0
GO:0016591 (term-term) GO:0000428	0.886868486219443
GO:0016604 (term-term-ontology) GO:0015030	2.0
GO:0016605 (term-term) GO:0016604	0.4279402764262724
GO:0016605 (term-term-ontology) GO:0016604	2.0
GO:0016607 (term-term) GO:0016604	0.6952498139565709
GO:0016607 (term-term-ontology) GO:0016604	2.0
GO:0017053 (term-term) GO:0000118	0.40386531569958956
GO:0019866 (term-term) GO:0005739	0.4020587113474433
GO:0019866 (term-term) GO:0005740	0.759948439663266
GO:0019866 (term-term) GO:0005743	0.9466581243011624
GO:0019866 (term-term-ontology) GO:0005743	2.0
GO:0019867 (term-term) GO:0005741	0.9362773394571348
GO:0019898 (term-term) GO:0009898	0.4858875490153368
GO:0022624 (term-term) GO:0000502	0.5481034506190482
GO:0022624 (term-term-ontology) GO:0000502	2.0
GO:0022625 (term-term) GO:0005840	0.44315018587240634
GO:0022625 (term-term) GO:0015934	0.7321190276746463
GO:0022625 (term-term-ontology) GO:0015934	2.0
GO:0022626 (term-term) GO:0005840	0.6715386076359787
GO:0022626 (term-term) GO:0015934	0.5767207341780762
GO:0022626 (term-term) GO:0015935	0.462354125965822
GO:0022626 (term-term) GO:0022625	0.7204877661781309
GO:0022626 (term-term-ontology) GO:0005829	2.0
GO:0022626 (term-term-ontology) GO:0005840	2.0
GO:0022626 (term-term-ontology) GO:0022625	2.0
GO:0022627 (term-term) GO:0015935	0.7748424986652451
GO:0022627 (term-term) GO:0022626	0.5364166140826246
GO:0022627 (term-term-ontology) GO:0015935	2.0
