#ID Interactor A	ID Interactor B	Alt IDs Interactor A	Alt IDs Interactor B	Aliases Interactor A	Aliases Interactor B	Interaction Detection Method	Publication 1st Author	Publication Identifiers	Taxid Interactor A	Taxid Interactor B	Interaction Types	Source Database	Interaction Identifiers	Confidence Values
entrez gene/locuslink:7015	entrez gene/locuslink:2547	biogrid:112874|entrez gene/locuslink:TERT	biogrid:108822|entrez gene/locuslink:XRCC6|entrez gene/locuslink:CTA-216E10.7	entrez gene/locuslink:CMM9(gene name synonym)|entrez gene/locuslink:DKCA2(gene name synonym)|entrez gene/locuslink:DKCB4(gene name synonym)|entrez gene/locuslink:EST2(gene name synonym)|entrez gene/locuslink:PFBMFT1(gene name synonym)|entrez gene/locuslink:TCS1(gene name synonym)|entrez gene/locuslink:TP2(gene name synonym)|entrez gene/locuslink:TRT(gene name synonym)|entrez gene/locuslink:hEST2(gene name synonym)|entrez gene/locuslink:hTRT(gene name synonym)	entrez gene/locuslink:CTC75(gene name synonym)|entrez gene/locuslink:CTCBF(gene name synonym)|entrez gene/locuslink:G22P1(gene name synonym)|entrez gene/locuslink:KU70(gene name synonym)|entrez gene/locuslink:ML8(gene name synonym)|entrez gene/locuslink:TLAA(gene name synonym)	psi-mi:"MI:0096"(pull down)	"Chai W (2002)"	pubmed:12377759	taxid:9606	taxid:9606	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0463"(biogrid)	biogrid:276632	-
entrez gene/locuslink:7011	entrez gene/locuslink:7015	biogrid:112870|entrez gene/locuslink:TEP1	biogrid:112874|entrez gene/locuslink:TERT	entrez gene/locuslink:TLP1(gene name synonym)|entrez gene/locuslink:TP1(gene name synonym)|entrez gene/locuslink:TROVE1(gene name synonym)|entrez gene/locuslink:VAULT2(gene name synonym)|entrez gene/locuslink:p240(gene name synonym)	entrez gene/locuslink:CMM9(gene name synonym)|entrez gene/locuslink:DKCA2(gene name synonym)|entrez gene/locuslink:DKCB4(gene name synonym)|entrez gene/locuslink:EST2(gene name synonym)|entrez gene/locuslink:PFBMFT1(gene name synonym)|entrez gene/locuslink:TCS1(gene name synonym)|entrez gene/locuslink:TP2(gene name synonym)|entrez gene/locuslink:TRT(gene name synonym)|entrez gene/locuslink:hEST2(gene name synonym)|entrez gene/locuslink:hTRT(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Beattie TL (2000)"	pubmed:11029039	taxid:9606	taxid:9606	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:279688	-
entrez gene/locuslink:5970	entrez gene/locuslink:7015	biogrid:111902|entrez gene/locuslink:RELA	biogrid:112874|entrez gene/locuslink:TERT	entrez gene/locuslink:NFKB3(gene name synonym)|entrez gene/locuslink:p65(gene name synonym)	entrez gene/locuslink:CMM9(gene name synonym)|entrez gene/locuslink:DKCA2(gene name synonym)|entrez gene/locuslink:DKCB4(gene name synonym)|entrez gene/locuslink:EST2(gene name synonym)|entrez gene/locuslink:PFBMFT1(gene name synonym)|entrez gene/locuslink:TCS1(gene name synonym)|entrez gene/locuslink:TP2(gene name synonym)|entrez gene/locuslink:TRT(gene name synonym)|entrez gene/locuslink:hEST2(gene name synonym)|entrez gene/locuslink:hTRT(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Akiyama M (2003)"	pubmed:12517770	taxid:9606	taxid:9606	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:280083	-
entrez gene/locuslink:207	entrez gene/locuslink:7015	biogrid:106710|entrez gene/locuslink:AKT1	biogrid:112874|entrez gene/locuslink:TERT	entrez gene/locuslink:AKT(gene name synonym)|entrez gene/locuslink:CWS6(gene name synonym)|entrez gene/locuslink:PKB(gene name synonym)|entrez gene/locuslink:PKB-ALPHA(gene name synonym)|entrez gene/locuslink:PRKBA(gene name synonym)|entrez gene/locuslink:RAC(gene name synonym)|entrez gene/locuslink:RAC-ALPHA(gene name synonym)	entrez gene/locuslink:CMM9(gene name synonym)|entrez gene/locuslink:DKCA2(gene name synonym)|entrez gene/locuslink:DKCB4(gene name synonym)|entrez gene/locuslink:EST2(gene name synonym)|entrez gene/locuslink:PFBMFT1(gene name synonym)|entrez gene/locuslink:TCS1(gene name synonym)|entrez gene/locuslink:TP2(gene name synonym)|entrez gene/locuslink:TRT(gene name synonym)|entrez gene/locuslink:hEST2(gene name synonym)|entrez gene/locuslink:hTRT(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Kawauchi K (2005)"	pubmed:15843522	taxid:9606	taxid:9606	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:282427	-
entrez gene/locuslink:2475	entrez gene/locuslink:7015	biogrid:108757|entrez gene/locuslink:MTOR	biogrid:112874|entrez gene/locuslink:TERT	entrez gene/locuslink:FRAP(gene name synonym)|entrez gene/locuslink:FRAP1(gene name synonym)|entrez gene/locuslink:FRAP2(gene name synonym)|entrez gene/locuslink:RAFT1(gene name synonym)|entrez gene/locuslink:RAPT1(gene name synonym)	entrez gene/locuslink:CMM9(gene name synonym)|entrez gene/locuslink:DKCA2(gene name synonym)|entrez gene/locuslink:DKCB4(gene name synonym)|entrez gene/locuslink:EST2(gene name synonym)|entrez gene/locuslink:PFBMFT1(gene name synonym)|entrez gene/locuslink:TCS1(gene name synonym)|entrez gene/locuslink:TP2(gene name synonym)|entrez gene/locuslink:TRT(gene name synonym)|entrez gene/locuslink:hEST2(gene name synonym)|entrez gene/locuslink:hTRT(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Kawauchi K (2005)"	pubmed:15843522	taxid:9606	taxid:9606	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:282428	-
entrez gene/locuslink:3320	entrez gene/locuslink:7015	biogrid:109552|entrez gene/locuslink:HSP90AA1	biogrid:112874|entrez gene/locuslink:TERT	entrez gene/locuslink:EL52(gene name synonym)|entrez gene/locuslink:HSP86(gene name synonym)|entrez gene/locuslink:HSP89A(gene name synonym)|entrez gene/locuslink:HSP90A(gene name synonym)|entrez gene/locuslink:HSP90N(gene name synonym)|entrez gene/locuslink:HSPC1(gene name synonym)|entrez gene/locuslink:HSPCA(gene name synonym)|entrez gene/locuslink:HSPCAL1(gene name synonym)|entrez gene/locuslink:HSPCAL4(gene name synonym)|entrez gene/locuslink:HSPN(gene name synonym)|entrez gene/locuslink:Hsp89(gene name synonym)|entrez gene/locuslink:Hsp90(gene name synonym)|entrez gene/locuslink:LAP-2(gene name synonym)|entrez gene/locuslink:LAP2(gene name synonym)	entrez gene/locuslink:CMM9(gene name synonym)|entrez gene/locuslink:DKCA2(gene name synonym)|entrez gene/locuslink:DKCB4(gene name synonym)|entrez gene/locuslink:EST2(gene name synonym)|entrez gene/locuslink:PFBMFT1(gene name synonym)|entrez gene/locuslink:TCS1(gene name synonym)|entrez gene/locuslink:TP2(gene name synonym)|entrez gene/locuslink:TRT(gene name synonym)|entrez gene/locuslink:hEST2(gene name synonym)|entrez gene/locuslink:hTRT(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Kawauchi K (2005)"	pubmed:15843522	taxid:9606	taxid:9606	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:282429	-
entrez gene/locuslink:6198	entrez gene/locuslink:7015	biogrid:112112|entrez gene/locuslink:RPS6KB1	biogrid:112874|entrez gene/locuslink:TERT	entrez gene/locuslink:PS6K(gene name synonym)|entrez gene/locuslink:S6K(gene name synonym)|entrez gene/locuslink:S6K-beta-1(gene name synonym)|entrez gene/locuslink:S6K1(gene name synonym)|entrez gene/locuslink:STK14A(gene name synonym)|entrez gene/locuslink:p70 S6KA(gene name synonym)|entrez gene/locuslink:"p70(S6K)-alpha"(gene name synonym)|entrez gene/locuslink:p70-S6K(gene name synonym)|entrez gene/locuslink:p70-alpha(gene name synonym)	entrez gene/locuslink:CMM9(gene name synonym)|entrez gene/locuslink:DKCA2(gene name synonym)|entrez gene/locuslink:DKCB4(gene name synonym)|entrez gene/locuslink:EST2(gene name synonym)|entrez gene/locuslink:PFBMFT1(gene name synonym)|entrez gene/locuslink:TCS1(gene name synonym)|entrez gene/locuslink:TP2(gene name synonym)|entrez gene/locuslink:TRT(gene name synonym)|entrez gene/locuslink:hEST2(gene name synonym)|entrez gene/locuslink:hTRT(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Kawauchi K (2005)"	pubmed:15843522	taxid:9606	taxid:9606	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:282430	-
entrez gene/locuslink:54984	entrez gene/locuslink:7015	biogrid:120319|entrez gene/locuslink:PINX1	biogrid:112874|entrez gene/locuslink:TERT	entrez gene/locuslink:LPTL(gene name synonym)|entrez gene/locuslink:LPTS(gene name synonym)	entrez gene/locuslink:CMM9(gene name synonym)|entrez gene/locuslink:DKCA2(gene name synonym)|entrez gene/locuslink:DKCB4(gene name synonym)|entrez gene/locuslink:EST2(gene name synonym)|entrez gene/locuslink:PFBMFT1(gene name synonym)|entrez gene/locuslink:TCS1(gene name synonym)|entrez gene/locuslink:TP2(gene name synonym)|entrez gene/locuslink:TRT(gene name synonym)|entrez gene/locuslink:hEST2(gene name synonym)|entrez gene/locuslink:hTRT(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Zhou XZ (2001)"	pubmed:11701125	taxid:9606	taxid:9606	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:283090	-
entrez gene/locuslink:54984	entrez gene/locuslink:7015	biogrid:120319|entrez gene/locuslink:PINX1	biogrid:112874|entrez gene/locuslink:TERT	entrez gene/locuslink:LPTL(gene name synonym)|entrez gene/locuslink:LPTS(gene name synonym)	entrez gene/locuslink:CMM9(gene name synonym)|entrez gene/locuslink:DKCA2(gene name synonym)|entrez gene/locuslink:DKCB4(gene name synonym)|entrez gene/locuslink:EST2(gene name synonym)|entrez gene/locuslink:PFBMFT1(gene name synonym)|entrez gene/locuslink:TCS1(gene name synonym)|entrez gene/locuslink:TP2(gene name synonym)|entrez gene/locuslink:TRT(gene name synonym)|entrez gene/locuslink:hEST2(gene name synonym)|entrez gene/locuslink:hTRT(gene name synonym)	psi-mi:"MI:0096"(pull down)	"Zhou XZ (2001)"	pubmed:11701125	taxid:9606	taxid:9606	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0463"(biogrid)	biogrid:283091	-
entrez gene/locuslink:7015	entrez gene/locuslink:7534	biogrid:112874|entrez gene/locuslink:TERT	biogrid:113366|entrez gene/locuslink:YWHAZ	entrez gene/locuslink:CMM9(gene name synonym)|entrez gene/locuslink:DKCA2(gene name synonym)|entrez gene/locuslink:DKCB4(gene name synonym)|entrez gene/locuslink:EST2(gene name synonym)|entrez gene/locuslink:PFBMFT1(gene name synonym)|entrez gene/locuslink:TCS1(gene name synonym)|entrez gene/locuslink:TP2(gene name synonym)|entrez gene/locuslink:TRT(gene name synonym)|entrez gene/locuslink:hEST2(gene name synonym)|entrez gene/locuslink:hTRT(gene name synonym)	entrez gene/locuslink:14-3-3-zeta(gene name synonym)|entrez gene/locuslink:HEL-S-3(gene name synonym)|entrez gene/locuslink:HEL4(gene name synonym)|entrez gene/locuslink:KCIP-1(gene name synonym)|entrez gene/locuslink:YWHAD(gene name synonym)	psi-mi:"MI:0018"(two hybrid)	"Seimiya H (2000)"	pubmed:10835362	taxid:9606	taxid:9606	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0463"(biogrid)	biogrid:306076	-
