#ID Interactor A	ID Interactor B	Alt IDs Interactor A	Alt IDs Interactor B	Aliases Interactor A	Aliases Interactor B	Interaction Detection Method	Publication 1st Author	Publication Identifiers	Taxid Interactor A	Taxid Interactor B	Interaction Types	Source Database	Interaction Identifiers	Confidence Values
entrez gene/locuslink:7015	entrez gene/locuslink:10971	biogrid:112874|entrez gene/locuslink:TERT	biogrid:116168|entrez gene/locuslink:YWHAQ	entrez gene/locuslink:CMM9(gene name synonym)|entrez gene/locuslink:DKCA2(gene name synonym)|entrez gene/locuslink:DKCB4(gene name synonym)|entrez gene/locuslink:EST2(gene name synonym)|entrez gene/locuslink:PFBMFT1(gene name synonym)|entrez gene/locuslink:TCS1(gene name synonym)|entrez gene/locuslink:TP2(gene name synonym)|entrez gene/locuslink:TRT(gene name synonym)|entrez gene/locuslink:hEST2(gene name synonym)|entrez gene/locuslink:hTRT(gene name synonym)	entrez gene/locuslink:14-3-3(gene name synonym)|entrez gene/locuslink:1C5(gene name synonym)|entrez gene/locuslink:HS1(gene name synonym)	psi-mi:"MI:0018"(two hybrid)	"Seimiya H (2000)"	pubmed:10835362	taxid:9606	taxid:9606	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0463"(biogrid)	biogrid:306077	-
entrez gene/locuslink:7015	entrez gene/locuslink:10971	biogrid:112874|entrez gene/locuslink:TERT	biogrid:116168|entrez gene/locuslink:YWHAQ	entrez gene/locuslink:CMM9(gene name synonym)|entrez gene/locuslink:DKCA2(gene name synonym)|entrez gene/locuslink:DKCB4(gene name synonym)|entrez gene/locuslink:EST2(gene name synonym)|entrez gene/locuslink:PFBMFT1(gene name synonym)|entrez gene/locuslink:TCS1(gene name synonym)|entrez gene/locuslink:TP2(gene name synonym)|entrez gene/locuslink:TRT(gene name synonym)|entrez gene/locuslink:hEST2(gene name synonym)|entrez gene/locuslink:hTRT(gene name synonym)	entrez gene/locuslink:14-3-3(gene name synonym)|entrez gene/locuslink:1C5(gene name synonym)|entrez gene/locuslink:HS1(gene name synonym)	psi-mi:"MI:0096"(pull down)	"Seimiya H (2000)"	pubmed:10835362	taxid:9606	taxid:9606	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0463"(biogrid)	biogrid:306078	-
entrez gene/locuslink:10971	entrez gene/locuslink:7015	biogrid:116168|entrez gene/locuslink:YWHAQ	biogrid:112874|entrez gene/locuslink:TERT	entrez gene/locuslink:14-3-3(gene name synonym)|entrez gene/locuslink:1C5(gene name synonym)|entrez gene/locuslink:HS1(gene name synonym)	entrez gene/locuslink:CMM9(gene name synonym)|entrez gene/locuslink:DKCA2(gene name synonym)|entrez gene/locuslink:DKCB4(gene name synonym)|entrez gene/locuslink:EST2(gene name synonym)|entrez gene/locuslink:PFBMFT1(gene name synonym)|entrez gene/locuslink:TCS1(gene name synonym)|entrez gene/locuslink:TP2(gene name synonym)|entrez gene/locuslink:TRT(gene name synonym)|entrez gene/locuslink:hEST2(gene name synonym)|entrez gene/locuslink:hTRT(gene name synonym)	psi-mi:"MI:0096"(pull down)	"Seimiya H (2000)"	pubmed:10835362	taxid:9606	taxid:9606	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0463"(biogrid)	biogrid:306079	-
entrez gene/locuslink:80198	entrez gene/locuslink:7015	biogrid:123170|entrez gene/locuslink:MUS81	biogrid:112874|entrez gene/locuslink:TERT	entrez gene/locuslink:SLX3(gene name synonym)	entrez gene/locuslink:CMM9(gene name synonym)|entrez gene/locuslink:DKCA2(gene name synonym)|entrez gene/locuslink:DKCB4(gene name synonym)|entrez gene/locuslink:EST2(gene name synonym)|entrez gene/locuslink:PFBMFT1(gene name synonym)|entrez gene/locuslink:TCS1(gene name synonym)|entrez gene/locuslink:TP2(gene name synonym)|entrez gene/locuslink:TRT(gene name synonym)|entrez gene/locuslink:hEST2(gene name synonym)|entrez gene/locuslink:hTRT(gene name synonym)	psi-mi:"MI:0254"(genetic interference)	"Zeng S (2009)"	pubmed:19363487	taxid:9606	taxid:9606	psi-mi:"MI:0796"(suppressive genetic interaction defined by inequality)	psi-mi:"MI:0463"(biogrid)	biogrid:334572	-
entrez gene/locuslink:7015	entrez gene/locuslink:5371	biogrid:112874|entrez gene/locuslink:TERT	biogrid:111384|entrez gene/locuslink:PML	entrez gene/locuslink:CMM9(gene name synonym)|entrez gene/locuslink:DKCA2(gene name synonym)|entrez gene/locuslink:DKCB4(gene name synonym)|entrez gene/locuslink:EST2(gene name synonym)|entrez gene/locuslink:PFBMFT1(gene name synonym)|entrez gene/locuslink:TCS1(gene name synonym)|entrez gene/locuslink:TP2(gene name synonym)|entrez gene/locuslink:TRT(gene name synonym)|entrez gene/locuslink:hEST2(gene name synonym)|entrez gene/locuslink:hTRT(gene name synonym)	entrez gene/locuslink:MYL(gene name synonym)|entrez gene/locuslink:PP8675(gene name synonym)|entrez gene/locuslink:RNF71(gene name synonym)|entrez gene/locuslink:TRIM19(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Oh W (2009)"	pubmed:19567472	taxid:9606	taxid:9606	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:468324	-
entrez gene/locuslink:5371	entrez gene/locuslink:7015	biogrid:111384|entrez gene/locuslink:PML	biogrid:112874|entrez gene/locuslink:TERT	entrez gene/locuslink:MYL(gene name synonym)|entrez gene/locuslink:PP8675(gene name synonym)|entrez gene/locuslink:RNF71(gene name synonym)|entrez gene/locuslink:TRIM19(gene name synonym)	entrez gene/locuslink:CMM9(gene name synonym)|entrez gene/locuslink:DKCA2(gene name synonym)|entrez gene/locuslink:DKCB4(gene name synonym)|entrez gene/locuslink:EST2(gene name synonym)|entrez gene/locuslink:PFBMFT1(gene name synonym)|entrez gene/locuslink:TCS1(gene name synonym)|entrez gene/locuslink:TP2(gene name synonym)|entrez gene/locuslink:TRT(gene name synonym)|entrez gene/locuslink:hEST2(gene name synonym)|entrez gene/locuslink:hTRT(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Oh W (2009)"	pubmed:19567472	taxid:9606	taxid:9606	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:468325	-
entrez gene/locuslink:23608	entrez gene/locuslink:7015	biogrid:117141|entrez gene/locuslink:MKRN1	biogrid:112874|entrez gene/locuslink:TERT	entrez gene/locuslink:RNF61(gene name synonym)	entrez gene/locuslink:CMM9(gene name synonym)|entrez gene/locuslink:DKCA2(gene name synonym)|entrez gene/locuslink:DKCB4(gene name synonym)|entrez gene/locuslink:EST2(gene name synonym)|entrez gene/locuslink:PFBMFT1(gene name synonym)|entrez gene/locuslink:TCS1(gene name synonym)|entrez gene/locuslink:TP2(gene name synonym)|entrez gene/locuslink:TRT(gene name synonym)|entrez gene/locuslink:hEST2(gene name synonym)|entrez gene/locuslink:hTRT(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Kim JH (2005)"	pubmed:15805468	taxid:9606	taxid:9606	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:468402	-
entrez gene/locuslink:7015	entrez gene/locuslink:55226	biogrid:112874|entrez gene/locuslink:TERT	biogrid:120521|entrez gene/locuslink:NAT10	entrez gene/locuslink:CMM9(gene name synonym)|entrez gene/locuslink:DKCA2(gene name synonym)|entrez gene/locuslink:DKCB4(gene name synonym)|entrez gene/locuslink:EST2(gene name synonym)|entrez gene/locuslink:PFBMFT1(gene name synonym)|entrez gene/locuslink:TCS1(gene name synonym)|entrez gene/locuslink:TP2(gene name synonym)|entrez gene/locuslink:TRT(gene name synonym)|entrez gene/locuslink:hEST2(gene name synonym)|entrez gene/locuslink:hTRT(gene name synonym)	entrez gene/locuslink:ALP(gene name synonym)|entrez gene/locuslink:NET43(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Fu D (2007)"	pubmed:18082603	taxid:9606	taxid:9606	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:513975	-
entrez gene/locuslink:7015	entrez gene/locuslink:4193	biogrid:112874|entrez gene/locuslink:TERT	biogrid:110358|entrez gene/locuslink:MDM2	entrez gene/locuslink:CMM9(gene name synonym)|entrez gene/locuslink:DKCA2(gene name synonym)|entrez gene/locuslink:DKCB4(gene name synonym)|entrez gene/locuslink:EST2(gene name synonym)|entrez gene/locuslink:PFBMFT1(gene name synonym)|entrez gene/locuslink:TCS1(gene name synonym)|entrez gene/locuslink:TP2(gene name synonym)|entrez gene/locuslink:TRT(gene name synonym)|entrez gene/locuslink:hEST2(gene name synonym)|entrez gene/locuslink:hTRT(gene name synonym)	entrez gene/locuslink:ACTFS(gene name synonym)|entrez gene/locuslink:HDMX(gene name synonym)|entrez gene/locuslink:hdm2(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Oh W (2010)"	pubmed:20453884	taxid:9606	taxid:9606	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:564118	-
entrez gene/locuslink:4193	entrez gene/locuslink:7015	biogrid:110358|entrez gene/locuslink:MDM2	biogrid:112874|entrez gene/locuslink:TERT	entrez gene/locuslink:ACTFS(gene name synonym)|entrez gene/locuslink:HDMX(gene name synonym)|entrez gene/locuslink:hdm2(gene name synonym)	entrez gene/locuslink:CMM9(gene name synonym)|entrez gene/locuslink:DKCA2(gene name synonym)|entrez gene/locuslink:DKCB4(gene name synonym)|entrez gene/locuslink:EST2(gene name synonym)|entrez gene/locuslink:PFBMFT1(gene name synonym)|entrez gene/locuslink:TCS1(gene name synonym)|entrez gene/locuslink:TP2(gene name synonym)|entrez gene/locuslink:TRT(gene name synonym)|entrez gene/locuslink:hEST2(gene name synonym)|entrez gene/locuslink:hTRT(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Oh W (2010)"	pubmed:20453884	taxid:9606	taxid:9606	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:564119	-
entrez gene/locuslink:4193	entrez gene/locuslink:7015	biogrid:110358|entrez gene/locuslink:MDM2	biogrid:112874|entrez gene/locuslink:TERT	entrez gene/locuslink:ACTFS(gene name synonym)|entrez gene/locuslink:HDMX(gene name synonym)|entrez gene/locuslink:hdm2(gene name synonym)	entrez gene/locuslink:CMM9(gene name synonym)|entrez gene/locuslink:DKCA2(gene name synonym)|entrez gene/locuslink:DKCB4(gene name synonym)|entrez gene/locuslink:EST2(gene name synonym)|entrez gene/locuslink:PFBMFT1(gene name synonym)|entrez gene/locuslink:TCS1(gene name synonym)|entrez gene/locuslink:TP2(gene name synonym)|entrez gene/locuslink:TRT(gene name synonym)|entrez gene/locuslink:hEST2(gene name synonym)|entrez gene/locuslink:hTRT(gene name synonym)	psi-mi:"MI:0096"(pull down)	"Oh W (2010)"	pubmed:20453884	taxid:9606	taxid:9606	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0463"(biogrid)	biogrid:564120	-
entrez gene/locuslink:4193	entrez gene/locuslink:7015	biogrid:110358|entrez gene/locuslink:MDM2	biogrid:112874|entrez gene/locuslink:TERT	entrez gene/locuslink:ACTFS(gene name synonym)|entrez gene/locuslink:HDMX(gene name synonym)|entrez gene/locuslink:hdm2(gene name synonym)	entrez gene/locuslink:CMM9(gene name synonym)|entrez gene/locuslink:DKCA2(gene name synonym)|entrez gene/locuslink:DKCB4(gene name synonym)|entrez gene/locuslink:EST2(gene name synonym)|entrez gene/locuslink:PFBMFT1(gene name synonym)|entrez gene/locuslink:TCS1(gene name synonym)|entrez gene/locuslink:TP2(gene name synonym)|entrez gene/locuslink:TRT(gene name synonym)|entrez gene/locuslink:hEST2(gene name synonym)|entrez gene/locuslink:hTRT(gene name synonym)	psi-mi:"MI:0415"(enzymatic study)	"Oh W (2010)"	pubmed:20453884	taxid:9606	taxid:9606	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0463"(biogrid)	biogrid:564122	-
entrez gene/locuslink:7015	entrez gene/locuslink:23293	biogrid:112874|entrez gene/locuslink:TERT	biogrid:116888|entrez gene/locuslink:SMG6	entrez gene/locuslink:CMM9(gene name synonym)|entrez gene/locuslink:DKCA2(gene name synonym)|entrez gene/locuslink:DKCB4(gene name synonym)|entrez gene/locuslink:EST2(gene name synonym)|entrez gene/locuslink:PFBMFT1(gene name synonym)|entrez gene/locuslink:TCS1(gene name synonym)|entrez gene/locuslink:TP2(gene name synonym)|entrez gene/locuslink:TRT(gene name synonym)|entrez gene/locuslink:hEST2(gene name synonym)|entrez gene/locuslink:hTRT(gene name synonym)	entrez gene/locuslink:C17orf31(gene name synonym)|entrez gene/locuslink:EST1A(gene name synonym)|entrez gene/locuslink:SMG-6(gene name synonym)|entrez gene/locuslink:hSMG5/7a(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Sealey DC (2011)"	pubmed:22011238	taxid:9606	taxid:9606	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:568311	-
entrez gene/locuslink:54552	entrez gene/locuslink:7015	biogrid:120037|entrez gene/locuslink:GNL3L|entrez gene/locuslink:RP11-353K22.1	biogrid:112874|entrez gene/locuslink:TERT	-	entrez gene/locuslink:CMM9(gene name synonym)|entrez gene/locuslink:DKCA2(gene name synonym)|entrez gene/locuslink:DKCB4(gene name synonym)|entrez gene/locuslink:EST2(gene name synonym)|entrez gene/locuslink:PFBMFT1(gene name synonym)|entrez gene/locuslink:TCS1(gene name synonym)|entrez gene/locuslink:TP2(gene name synonym)|entrez gene/locuslink:TRT(gene name synonym)|entrez gene/locuslink:hEST2(gene name synonym)|entrez gene/locuslink:hTRT(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Zhu Q (2009)"	pubmed:19487455	taxid:9606	taxid:9606	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:573770	-
entrez gene/locuslink:7013	entrez gene/locuslink:7015	biogrid:112872|entrez gene/locuslink:TERF1	biogrid:112874|entrez gene/locuslink:TERT	entrez gene/locuslink:PIN2(gene name synonym)|entrez gene/locuslink:TRBF1(gene name synonym)|entrez gene/locuslink:TRF(gene name synonym)|entrez gene/locuslink:TRF1(gene name synonym)|entrez gene/locuslink:hTRF1-AS(gene name synonym)|entrez gene/locuslink:t-TRF1(gene name synonym)	entrez gene/locuslink:CMM9(gene name synonym)|entrez gene/locuslink:DKCA2(gene name synonym)|entrez gene/locuslink:DKCB4(gene name synonym)|entrez gene/locuslink:EST2(gene name synonym)|entrez gene/locuslink:PFBMFT1(gene name synonym)|entrez gene/locuslink:TCS1(gene name synonym)|entrez gene/locuslink:TP2(gene name synonym)|entrez gene/locuslink:TRT(gene name synonym)|entrez gene/locuslink:hEST2(gene name synonym)|entrez gene/locuslink:hTRT(gene name synonym)	psi-mi:"MI:0096"(pull down)	"Zhu Q (2009)"	pubmed:19487455	taxid:9606	taxid:9606	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0463"(biogrid)	biogrid:573771	-
entrez gene/locuslink:7015	entrez gene/locuslink:10728	biogrid:112874|entrez gene/locuslink:TERT	biogrid:115952|entrez gene/locuslink:PTGES3	entrez gene/locuslink:CMM9(gene name synonym)|entrez gene/locuslink:DKCA2(gene name synonym)|entrez gene/locuslink:DKCB4(gene name synonym)|entrez gene/locuslink:EST2(gene name synonym)|entrez gene/locuslink:PFBMFT1(gene name synonym)|entrez gene/locuslink:TCS1(gene name synonym)|entrez gene/locuslink:TP2(gene name synonym)|entrez gene/locuslink:TRT(gene name synonym)|entrez gene/locuslink:hEST2(gene name synonym)|entrez gene/locuslink:hTRT(gene name synonym)	entrez gene/locuslink:P23(gene name synonym)|entrez gene/locuslink:TEBP(gene name synonym)|entrez gene/locuslink:cPGES(gene name synonym)	psi-mi:"MI:0018"(two hybrid)	"Holt SE (1999)"	pubmed:10197982	taxid:9606	taxid:9606	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0463"(biogrid)	biogrid:604643	-
entrez gene/locuslink:3320	entrez gene/locuslink:7015	biogrid:109552|entrez gene/locuslink:HSP90AA1	biogrid:112874|entrez gene/locuslink:TERT	entrez gene/locuslink:EL52(gene name synonym)|entrez gene/locuslink:HSP86(gene name synonym)|entrez gene/locuslink:HSP89A(gene name synonym)|entrez gene/locuslink:HSP90A(gene name synonym)|entrez gene/locuslink:HSP90N(gene name synonym)|entrez gene/locuslink:HSPC1(gene name synonym)|entrez gene/locuslink:HSPCA(gene name synonym)|entrez gene/locuslink:HSPCAL1(gene name synonym)|entrez gene/locuslink:HSPCAL4(gene name synonym)|entrez gene/locuslink:HSPN(gene name synonym)|entrez gene/locuslink:Hsp89(gene name synonym)|entrez gene/locuslink:Hsp90(gene name synonym)|entrez gene/locuslink:LAP-2(gene name synonym)|entrez gene/locuslink:LAP2(gene name synonym)	entrez gene/locuslink:CMM9(gene name synonym)|entrez gene/locuslink:DKCA2(gene name synonym)|entrez gene/locuslink:DKCB4(gene name synonym)|entrez gene/locuslink:EST2(gene name synonym)|entrez gene/locuslink:PFBMFT1(gene name synonym)|entrez gene/locuslink:TCS1(gene name synonym)|entrez gene/locuslink:TP2(gene name synonym)|entrez gene/locuslink:TRT(gene name synonym)|entrez gene/locuslink:hEST2(gene name synonym)|entrez gene/locuslink:hTRT(gene name synonym)	psi-mi:"MI:0096"(pull down)	"Holt SE (1999)"	pubmed:10197982	taxid:9606	taxid:9606	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0463"(biogrid)	biogrid:604644	-
entrez gene/locuslink:10728	entrez gene/locuslink:7015	biogrid:115952|entrez gene/locuslink:PTGES3	biogrid:112874|entrez gene/locuslink:TERT	entrez gene/locuslink:P23(gene name synonym)|entrez gene/locuslink:TEBP(gene name synonym)|entrez gene/locuslink:cPGES(gene name synonym)	entrez gene/locuslink:CMM9(gene name synonym)|entrez gene/locuslink:DKCA2(gene name synonym)|entrez gene/locuslink:DKCB4(gene name synonym)|entrez gene/locuslink:EST2(gene name synonym)|entrez gene/locuslink:PFBMFT1(gene name synonym)|entrez gene/locuslink:TCS1(gene name synonym)|entrez gene/locuslink:TP2(gene name synonym)|entrez gene/locuslink:TRT(gene name synonym)|entrez gene/locuslink:hEST2(gene name synonym)|entrez gene/locuslink:hTRT(gene name synonym)	psi-mi:"MI:0096"(pull down)	"Holt SE (1999)"	pubmed:10197982	taxid:9606	taxid:9606	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0463"(biogrid)	biogrid:604645	-
entrez gene/locuslink:7015	entrez gene/locuslink:7520	biogrid:112874|entrez gene/locuslink:TERT	biogrid:113353|entrez gene/locuslink:XRCC5	entrez gene/locuslink:CMM9(gene name synonym)|entrez gene/locuslink:DKCA2(gene name synonym)|entrez gene/locuslink:DKCB4(gene name synonym)|entrez gene/locuslink:EST2(gene name synonym)|entrez gene/locuslink:PFBMFT1(gene name synonym)|entrez gene/locuslink:TCS1(gene name synonym)|entrez gene/locuslink:TP2(gene name synonym)|entrez gene/locuslink:TRT(gene name synonym)|entrez gene/locuslink:hEST2(gene name synonym)|entrez gene/locuslink:hTRT(gene name synonym)	entrez gene/locuslink:KARP-1(gene name synonym)|entrez gene/locuslink:KARP1(gene name synonym)|entrez gene/locuslink:KU80(gene name synonym)|entrez gene/locuslink:KUB2(gene name synonym)|entrez gene/locuslink:Ku86(gene name synonym)|entrez gene/locuslink:NFIV(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Ponnala S (2011)"	pubmed:21855630	taxid:9606	taxid:9606	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:675086	-
entrez gene/locuslink:7015	entrez gene/locuslink:25913	biogrid:112874|entrez gene/locuslink:TERT	biogrid:117417|entrez gene/locuslink:POT1	entrez gene/locuslink:CMM9(gene name synonym)|entrez gene/locuslink:DKCA2(gene name synonym)|entrez gene/locuslink:DKCB4(gene name synonym)|entrez gene/locuslink:EST2(gene name synonym)|entrez gene/locuslink:PFBMFT1(gene name synonym)|entrez gene/locuslink:TCS1(gene name synonym)|entrez gene/locuslink:TP2(gene name synonym)|entrez gene/locuslink:TRT(gene name synonym)|entrez gene/locuslink:hEST2(gene name synonym)|entrez gene/locuslink:hTRT(gene name synonym)	entrez gene/locuslink:CMM10(gene name synonym)|entrez gene/locuslink:HPOT1(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Ponnala S (2011)"	pubmed:21855630	taxid:9606	taxid:9606	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:675087	-
entrez gene/locuslink:10519	entrez gene/locuslink:7015	biogrid:115774|entrez gene/locuslink:CIB1	biogrid:112874|entrez gene/locuslink:TERT	entrez gene/locuslink:CIB(gene name synonym)|entrez gene/locuslink:CIBP(gene name synonym)|entrez gene/locuslink:KIP1(gene name synonym)|entrez gene/locuslink:PRKDCIP(gene name synonym)|entrez gene/locuslink:SIP2-28(gene name synonym)	entrez gene/locuslink:CMM9(gene name synonym)|entrez gene/locuslink:DKCA2(gene name synonym)|entrez gene/locuslink:DKCB4(gene name synonym)|entrez gene/locuslink:EST2(gene name synonym)|entrez gene/locuslink:PFBMFT1(gene name synonym)|entrez gene/locuslink:TCS1(gene name synonym)|entrez gene/locuslink:TP2(gene name synonym)|entrez gene/locuslink:TRT(gene name synonym)|entrez gene/locuslink:hEST2(gene name synonym)|entrez gene/locuslink:hTRT(gene name synonym)	psi-mi:"MI:0096"(pull down)	"Lee JH (2010)"	pubmed:20959453	taxid:9606	taxid:9606	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0463"(biogrid)	biogrid:682945	-
entrez gene/locuslink:10273	entrez gene/locuslink:7015	biogrid:115563|entrez gene/locuslink:STUB1|entrez gene/locuslink:LA16c-313D11.6	biogrid:112874|entrez gene/locuslink:TERT	entrez gene/locuslink:CHIP(gene name synonym)|entrez gene/locuslink:HSPABP2(gene name synonym)|entrez gene/locuslink:NY-CO-7(gene name synonym)|entrez gene/locuslink:SCAR16(gene name synonym)|entrez gene/locuslink:SDCCAG7(gene name synonym)|entrez gene/locuslink:UBOX1(gene name synonym)	entrez gene/locuslink:CMM9(gene name synonym)|entrez gene/locuslink:DKCA2(gene name synonym)|entrez gene/locuslink:DKCB4(gene name synonym)|entrez gene/locuslink:EST2(gene name synonym)|entrez gene/locuslink:PFBMFT1(gene name synonym)|entrez gene/locuslink:TCS1(gene name synonym)|entrez gene/locuslink:TP2(gene name synonym)|entrez gene/locuslink:TRT(gene name synonym)|entrez gene/locuslink:hEST2(gene name synonym)|entrez gene/locuslink:hTRT(gene name synonym)	psi-mi:"MI:0096"(pull down)	"Lee JH (2010)"	pubmed:20959453	taxid:9606	taxid:9606	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0463"(biogrid)	biogrid:682946	-
entrez gene/locuslink:10273	entrez gene/locuslink:7015	biogrid:115563|entrez gene/locuslink:STUB1|entrez gene/locuslink:LA16c-313D11.6	biogrid:112874|entrez gene/locuslink:TERT	entrez gene/locuslink:CHIP(gene name synonym)|entrez gene/locuslink:HSPABP2(gene name synonym)|entrez gene/locuslink:NY-CO-7(gene name synonym)|entrez gene/locuslink:SCAR16(gene name synonym)|entrez gene/locuslink:SDCCAG7(gene name synonym)|entrez gene/locuslink:UBOX1(gene name synonym)	entrez gene/locuslink:CMM9(gene name synonym)|entrez gene/locuslink:DKCA2(gene name synonym)|entrez gene/locuslink:DKCB4(gene name synonym)|entrez gene/locuslink:EST2(gene name synonym)|entrez gene/locuslink:PFBMFT1(gene name synonym)|entrez gene/locuslink:TCS1(gene name synonym)|entrez gene/locuslink:TP2(gene name synonym)|entrez gene/locuslink:TRT(gene name synonym)|entrez gene/locuslink:hEST2(gene name synonym)|entrez gene/locuslink:hTRT(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Lee JH (2010)"	pubmed:20959453	taxid:9606	taxid:9606	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:682947	-
entrez gene/locuslink:7015	entrez gene/locuslink:10273	biogrid:112874|entrez gene/locuslink:TERT	biogrid:115563|entrez gene/locuslink:STUB1|entrez gene/locuslink:LA16c-313D11.6	entrez gene/locuslink:CMM9(gene name synonym)|entrez gene/locuslink:DKCA2(gene name synonym)|entrez gene/locuslink:DKCB4(gene name synonym)|entrez gene/locuslink:EST2(gene name synonym)|entrez gene/locuslink:PFBMFT1(gene name synonym)|entrez gene/locuslink:TCS1(gene name synonym)|entrez gene/locuslink:TP2(gene name synonym)|entrez gene/locuslink:TRT(gene name synonym)|entrez gene/locuslink:hEST2(gene name synonym)|entrez gene/locuslink:hTRT(gene name synonym)	entrez gene/locuslink:CHIP(gene name synonym)|entrez gene/locuslink:HSPABP2(gene name synonym)|entrez gene/locuslink:NY-CO-7(gene name synonym)|entrez gene/locuslink:SCAR16(gene name synonym)|entrez gene/locuslink:SDCCAG7(gene name synonym)|entrez gene/locuslink:UBOX1(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Lee JH (2010)"	pubmed:20959453	taxid:9606	taxid:9606	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:682948	-
entrez gene/locuslink:7015	entrez gene/locuslink:3320	biogrid:112874|entrez gene/locuslink:TERT	biogrid:109552|entrez gene/locuslink:HSP90AA1	entrez gene/locuslink:CMM9(gene name synonym)|entrez gene/locuslink:DKCA2(gene name synonym)|entrez gene/locuslink:DKCB4(gene name synonym)|entrez gene/locuslink:EST2(gene name synonym)|entrez gene/locuslink:PFBMFT1(gene name synonym)|entrez gene/locuslink:TCS1(gene name synonym)|entrez gene/locuslink:TP2(gene name synonym)|entrez gene/locuslink:TRT(gene name synonym)|entrez gene/locuslink:hEST2(gene name synonym)|entrez gene/locuslink:hTRT(gene name synonym)	entrez gene/locuslink:EL52(gene name synonym)|entrez gene/locuslink:HSP86(gene name synonym)|entrez gene/locuslink:HSP89A(gene name synonym)|entrez gene/locuslink:HSP90A(gene name synonym)|entrez gene/locuslink:HSP90N(gene name synonym)|entrez gene/locuslink:HSPC1(gene name synonym)|entrez gene/locuslink:HSPCA(gene name synonym)|entrez gene/locuslink:HSPCAL1(gene name synonym)|entrez gene/locuslink:HSPCAL4(gene name synonym)|entrez gene/locuslink:HSPN(gene name synonym)|entrez gene/locuslink:Hsp89(gene name synonym)|entrez gene/locuslink:Hsp90(gene name synonym)|entrez gene/locuslink:LAP-2(gene name synonym)|entrez gene/locuslink:LAP2(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Lee JH (2010)"	pubmed:20959453	taxid:9606	taxid:9606	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:682962	-
