whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	X0469.IntAct.	X0471.MINT.	X0486.UniProt.	X1263.Molecular.Connections.	IMEx	missing_protein_evidence	BioGRID_from_Mentha
A0A061ACQ0	1	1	0	0	0	0	0	0	0	1	0
A0A061ACQ2	1	1	0	0	0	0	0	0	0	1	0
A0A061ACQ5	1	1	0	0	0	0	0	0	0	1	0
A0A061ACQ8	1	1	0	0	0	0	0	0	0	0	0
A0A061ACR1	1	1	0	0	0	0	0	0	0	0	0
A0A061ACR9	1	1	0	0	0	0	0	0	0	1	0
A0A061ACS0	1	1	0	0	0	0	0	0	0	1	0
A0A061ACS5	1	1	0	0	0	0	0	0	0	0	0
A0A061ACS6	1	1	0	0	0	0	0	0	0	0	0
A0A061ACS9	1	1	0	0	0	0	0	0	0	0	0
A0A061ACT3	1	1	0	0	0	0	0	0	0	0	0
A0A061ACT8	1	1	0	0	0	0	0	0	0	1	0
A0A061ACU2	1	1	0	0	0	0	0	0	0	0	0
A0A061ACU6	1	1	0	0	0	0	0	0	0	0	0
A0A061ACV1	1	1	0	0	0	0	0	0	0	1	0
A0A061ACV2	1	1	0	0	0	0	0	0	0	1	0
A0A061ACV8	1	1	0	0	0	0	0	0	0	1	0
A0A061ACW5	1	1	0	0	0	0	0	0	0	0	0
A0A061ACX4	1	1	0	0	0	0	0	0	0	0	0
A0A061ACY0	1	1	0	0	0	0	0	0	0	0	0
A0A061ACY6	1	1	0	0	0	0	0	0	0	0	0
A0A061AD00	1	1	0	0	0	0	0	0	0	0	0
A0A061AD05	1	1	0	0	0	0	0	0	0	0	0
A0A061AD09	1	1	0	0	0	0	0	0	0	0	0
A0A061AD13	1	1	0	0	0	0	0	0	0	0	0
A0A061AD14	1	1	0	0	0	0	0	0	0	0	0
A0A061AD18	1	1	0	0	0	0	0	0	0	1	0
A0A061AD21	1	1	0	0	0	0	0	0	0	0	0
A0A061AD24	1	1	0	0	0	0	0	0	0	0	0
A0A061AD26	1	1	0	0	0	0	0	0	0	0	0
A0A061AD29	1	1	0	0	0	0	0	0	0	0	0
A0A061AD30	1	1	0	0	0	0	0	0	0	1	0
A0A061AD34	1	1	0	0	0	0	0	0	0	1	0
A0A061AD39	1	1	0	0	0	0	0	0	0	0	0
A0A061AD41	1	1	0	0	0	0	0	0	0	0	0
A0A061AD43	1	1	0	0	0	0	0	0	0	1	0
A0A061AD47	1	1	0	0	0	0	0	0	0	0	0
A0A061AD48	1	1	0	0	0	0	0	0	0	1	0
A0A061AD51	1	1	0	0	0	0	0	0	0	0	0
A0A061AD52	1	1	0	0	0	0	0	0	0	1	0
A0A061AD57	1	1	0	0	0	0	0	0	0	0	0
A0A061AD62	1	1	0	0	0	0	0	0	0	0	0
A0A061AD67	1	1	0	0	0	0	0	0	0	1	0
A0A061AD72	1	1	0	0	0	0	0	0	0	0	0
A0A061AD87	1	1	0	0	0	0	0	0	0	0	0
A0A061ADP1	1	1	0	0	0	0	0	0	0	0	0
A0A061ADP6	1	1	0	0	0	0	0	0	0	1	0
A0A061ADQ1	1	1	0	0	0	0	0	0	0	0	0
A0A061ADQ6	1	1	0	0	0	0	0	0	0	1	0
A0A061ADR1	1	1	0	0	0	0	0	0	0	1	0
A0A061ADR6	1	1	0	0	0	0	0	0	0	0	0
A0A061ADS3	1	1	0	0	0	0	0	0	0	0	0
A0A061ADS9	1	1	0	0	0	0	0	0	0	0	0
A0A061ADT4	1	1	0	0	0	0	0	0	0	0	0
A0A061ADT8	1	1	0	0	0	0	0	0	0	0	0
A0A061ADU4	1	1	0	0	0	0	0	0	0	0	0
A0A061ADU8	1	1	0	0	0	0	0	0	0	0	0
A0A061ADV3	1	1	0	0	0	0	0	0	0	1	0
A0A061ADV7	1	1	0	0	0	0	0	0	0	1	0
A0A061ADW6	1	1	0	0	0	0	0	0	0	0	0
A0A061ADX1	1	1	0	0	0	0	0	0	0	1	0
A0A061ADX7	1	1	0	0	0	0	0	0	0	0	0
A0A061ADY3	1	1	0	0	0	0	0	0	0	0	0
A0A061ADY8	1	1	0	0	0	0	0	0	0	0	0
A0A061ADZ4	1	1	0	0	0	0	0	0	0	1	0
A0A061ADZ9	1	1	0	0	0	0	0	0	0	1	0
A0A061AE05	1	1	0	0	0	0	0	0	0	0	0
A0A061AE10	1	1	0	0	0	0	0	0	0	1	0
A0A061AE17	1	1	0	0	0	0	0	0	0	1	0
A0A061AE24	1	1	0	0	0	0	0	0	0	0	0
A0A061AE33	1	1	0	0	0	0	0	0	0	0	0
A0A061AE39	1	1	0	0	0	0	0	0	0	1	0
A0A061AE46	1	1	0	0	0	0	0	0	0	0	0
