whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	0469(IntAct)	0471(MINT)	0486(UniProt)	0903(mpidb)	IMEx	missing_protein_evidence
P00803	1	1	uniprotkb	83333	1	0	0	0	1	0
P00804	1	1	0	0	0	0	0	0	0	0
P00805	1	1	uniprotkb	83333	1	1	0	0	1	0
P00811	1	1	uniprotkb	83333	1	0	0	0	1	0
P00816	1	1	uniprotkb	83333	1	0	0	0	1	0
P00861	1	1	uniprotkb	83333	1	0	0	0	1	0
P00864	1	1	uniprotkb	83333	1	0	0	0	1	0
P00887	1	1	uniprotkb	83333	1	0	0	0	1	0
P00888	1	1	uniprotkb	83333	1	0	0	0	1	0
P00892	1	1	uniprotkb	83333	1	0	0	0	1	0
P00893	1	1	uniprotkb	83333	1	0	0	0	1	0
P00894	1	1	uniprotkb	83333	1	0	0	0	1	0
P00895	1	1	uniprotkb	83333	1	0	0	0	1	0
P00903	1	1	uniprotkb	83333	1	0	0	0	1	0
P00904	1	1	uniprotkb	83333	1	0	0	0	1	0
P00909	1	1	uniprotkb	83333	1	0	0	0	1	0
P00914	1	1	uniprotkb	83333	1	0	0	0	1	0
P00926	1	1	uniprotkb	83333	1	0	0	0	1	0
P00934	1	1	uniprotkb	83333	1	0	0	0	1	0
P00935	1	1	uniprotkb	83333	1	0	0	0	1	0
P00936	1	1	uniprotkb	83333	1	0	0	0	1	0
P00944	1	1	uniprotkb	83333	1	1	0	0	1	1
P00946	1	1	uniprotkb	83333	1	0	0	0	1	0
P00954	1	1	uniprotkb	83333	1	0	0	0	1	0
P00956	1	1	uniprotkb	83333	1	0	0	0	1	0
P00957	1	1	uniprotkb	83333	1	0	0	0	1	0
P00959	1	1	uniprotkb	83333	1	0	0	0	1	0
P00960	1	1	uniprotkb	83333	1	0	0	0	1	0
P00961	1	1	uniprotkb	83333	1	0	0	0	1	0
P00962	1	1	uniprotkb	83333	1	0	0	0	1	0
P00963	1	1	uniprotkb	83333	1	0	0	0	1	0
P00968	1	1	uniprotkb	83333	1	0	0	0	1	0
P02338	1	1	0	0	0	0	0	0	0	1
P02358	1	1	uniprotkb	83333	1	0	0	0	1	0
P02359	1	1	uniprotkb	83333	1	0	0	0	1	0
P02413	1	1	uniprotkb	83333	1	0	0	0	1	0
P02916	1	1	uniprotkb	83333	1	0	0	1	1	0
P02918	1	1	uniprotkb	83333	1	0	0	0	1	0
P02919	1	1	uniprotkb	83333	1	0	0	1	1	0
P02919-2	1	1	uniprotkb	83333	1	0	0	0	1	0
P02920	1	1	0	0	0	0	0	0	0	0
P02921	1	1	uniprotkb	83333	1	0	0	0	1	0
P02924	1	1	uniprotkb	83333	1	0	0	0	1	0
P02925	1	1	uniprotkb	83333	1	1	0	0	1	0
P02929	1	1	uniprotkb	83333	1	0	0	1	1	0
P02930	1	1	uniprotkb	83333	1	1	0	1	1	0
P02931	1	1	uniprotkb	83333	1	1	0	0	1	0
P02932	1	1	uniprotkb	83333	1	0	0	1	1	0
P02942	1	1	uniprotkb	83333	1	1	0	1	1	0
P02943	1	1	uniprotkb	83333	1	0	0	0	1	0
P03004	1	1	uniprotkb	83333	1	0	0	1	1	0
P03007	1	1	uniprotkb	83333	1	1	0	0	1	0
P03012	1	0	0	0	0	0	0	0	0	0
P03014	1	1	uniprotkb	83333	1	0	0	0	1	1
P03018	1	1	uniprotkb	83333	1	0	0	0	1	0
P03023	1	1	uniprotkb	83333	1	1	0	0	1	0
P03024	1	1	uniprotkb	83333	1	0	0	1	1	0
P03030	1	1	uniprotkb	83333	1	0	0	0	1	1
P03061	1	1	0	0	0	0	0	0	0	1
P03813	1	1	uniprotkb	83333	1	0	0	0	1	1
P03817	1	1	uniprotkb	83333	1	0	0	0	1	0
P03819	1	1	uniprotkb	83333	1	0	0	0	1	0
P03825	1	1	0	0	0	0	0	0	0	1
P03835	1	1	0	0	0	0	0	0	0	1
P03837	0	0	uniprotkb	83333	1	0	0	0	1	0
P03841	1	1	0	0	0	0	0	0	0	1
P03856	1	0	0	0	0	0	0	0	0	0
P03959	1	1	0	0	0	0	0	0	0	0
P03960	1	1	uniprotkb	83333	1	1	0	0	1	0
P03961	1	1	uniprotkb	83333	0	1	0	0	1	0
P04036	1	1	uniprotkb	83333	1	0	0	0	1	0
P04079	1	1	uniprotkb	83333	1	0	0	0	1	0
P04128	1	1	0	0	0	0	0	0	0	0
P04152	1	1	uniprotkb	83333	1	0	0	0	1	0
P04335	1	1	uniprotkb	83333	1	0	0	0	1	1
P04391	1	1	uniprotkb	83333	1	0	0	0	1	0
P04395	1	1	uniprotkb	83333	1	0	0	0	1	0
P04425	1	1	uniprotkb	83333	1	0	0	0	1	0
P04693	1	1	uniprotkb	83333	1	0	0	0	1	0
P04737	1	0	uniprotkb	83333	1	0	0	0	1	0
P04805	1	1	uniprotkb	83333	1	0	0	0	1	0
P04816	1	1	uniprotkb	83333	1	0	0	0	1	0
P04825	1	1	uniprotkb	83333	1	0	0	0	1	0
P04846	1	1	uniprotkb	83333	1	0	0	0	1	0
P04949	1	1	uniprotkb	83333	1	0	0	0	1	0
P04951	1	1	uniprotkb	83333	1	0	0	0	1	0
P04968	1	1	uniprotkb	83333	1	0	0	0	1	0
P04982	1	1	0	0	0	0	0	0	0	0
P04983	1	1	uniprotkb	83333	1	0	0	0	1	0
P04993	1	1	uniprotkb	83333	1	1	0	0	1	0
P04994	1	1	uniprotkb	83333	1	0	0	0	1	0
P04995	1	1	uniprotkb	83333	1	0	0	0	1	0
P05020	1	1	uniprotkb	83333	1	0	0	0	1	0
P05041	1	1	uniprotkb	83333	1	0	0	0	1	0
P05042	1	1	uniprotkb	83333	1	0	0	0	1	0
P05050	1	1	uniprotkb	83333	1	0	0	0	1	0
P05052	1	1	uniprotkb	83333	1	0	0	0	1	0
P05055	1	1	uniprotkb	83333	1	1	0	1	1	0
P05100	1	1	uniprotkb	83333	1	0	0	0	1	0
P05194	1	1	uniprotkb	83333	1	0	0	0	1	0
P05458	1	1	uniprotkb	83333	1	0	0	0	1	0
P05459	1	1	uniprotkb	83333	1	0	0	0	1	1
P05523	1	1	uniprotkb	83333	1	0	0	0	1	0
