whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	0469(IntAct)	0471(MINT)	0486(UniProt)	0903(mpidb)	1263(Molecular Connections)	1335(HPIDb)	IMEx	protein_evidence
A0A097PKC1	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PKH5	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PKM4	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PKS4	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PKZ7	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PL68	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PLC6	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PLD1	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PLL3	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PLR4	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PLX2	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PM28	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PM80	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PMD7	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PMI5	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PMM0	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PMS4	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PMZ7	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PN41	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PN92	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PND6	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PNI8	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PNP0	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PNY5	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PP41	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PP44	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PPA4	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PPH7	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PPM7	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PPU5	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PQ06	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PQ23	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PQ70	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PQA7	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PQG1	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PQL8	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PQU4	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PR03	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PR53	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PRF7	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PRK9	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PRT6	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PS06	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PS22	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PS65	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PSE1	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PSJ3	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PSQ3	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PSW2	1	0	0	0	0	0	0	0	0	0	0	0
A0A097PSZ6	1	0	0	0	0	0	0	0	0	0	0	0
A0A098CI90	1	0	0	0	0	0	0	0	0	0	0	0
A0A098CJN8	1	0	0	0	0	0	0	0	0	0	0	0
A0A098CKY1	1	0	0	0	0	0	0	0	0	0	0	0
A0A0A1GRI8	1	0	0	0	0	0	0	0	0	0	0	0
A0A0A8IL98	1	0	0	0	0	0	0	0	0	0	0	0
A0A0B4UKY5	1	0	0	0	0	0	0	0	0	0	0	0
A0A0B4UL02	1	0	0	0	0	0	0	0	0	0	0	0
A0A0B4UL26	1	0	0	0	0	0	0	0	0	0	0	0
A0A0B4UL43	1	0	0	0	0	0	0	0	0	0	0	0
A0A0B4ULJ4	1	0	0	0	0	0	0	0	0	0	0	0
A0A0B4ULM9	1	0	0	0	0	0	0	0	0	0	0	0
A0A0B4ULR9	1	0	0	0	0	0	0	0	0	0	0	0
A0A0B4ULY4	1	0	0	0	0	0	0	0	0	0	0	0
A0A0B4UMN9	1	0	0	0	0	0	0	0	0	0	0	0
A0A0B4UMR6	1	0	0	0	0	0	0	0	0	0	0	0
A0A0B4UMT5	1	0	0	0	0	0	0	0	0	0	0	0
A0A0D5MF12	1	0	0	0	0	0	0	0	0	0	0	0
A0A0E3MVM2	1	0	0	0	0	0	0	0	0	0	0	0
A0A0E4B2R0	1	0	0	0	0	0	0	0	0	0	0	0
A0A0E4B2Z5	1	0	0	0	0	0	0	0	0	0	0	0
A0A0E4B4D7	1	0	0	0	0	0	0	0	0	0	0	0
A0A0E4FLL0	1	0	0	0	0	0	0	0	0	0	0	0
A0A0F6SCX9	1	0	0	0	0	0	0	0	0	0	0	0
A0A0F7C956	1	0	0	0	0	0	0	0	0	0	0	0
A0A0F7PX47	1	0	0	0	0	0	0	0	0	0	0	0
A0A0F7PX50	1	0	0	0	0	0	0	0	0	0	0	0
A0A0F7PX53	1	0	0	0	0	0	0	0	0	0	0	0
A0A0F7PX57	1	0	0	0	0	0	0	0	0	0	0	0
A0A0F7PXK0	1	0	0	0	0	0	0	0	0	0	0	0
A0A0F7PXK3	1	0	0	0	0	0	0	0	0	0	0	0
A0A0F7PXK5	1	0	0	0	0	0	0	0	0	0	0	0
A0A0F7PXL1	1	0	0	0	0	0	0	0	0	0	0	0
A0A0F7PZZ1	1	0	0	0	0	0	0	0	0	0	0	0
A0A0F7PZZ9	1	0	0	0	0	0	0	0	0	0	0	0
A0A0F7Q002	1	0	0	0	0	0	0	0	0	0	0	0
A0A0F7Q1T6	1	0	0	0	0	0	0	0	0	0	0	0
A0A0F7Q1U1	1	0	0	0	0	0	0	0	0	0	0	0
A0A0F7Q1U7	1	0	0	0	0	0	0	0	0	0	0	0
A0A0F7Q1V6	1	0	0	0	0	0	0	0	0	0	0	0
A0A0F7Q2M9	1	0	0	0	0	0	0	0	0	0	0	0
A0A0F7Q2P0	1	0	0	0	0	0	0	0	0	0	0	0
A0A0G4NSG5	1	0	0	0	0	0	0	0	0	0	0	0
A0A0H3VBT7	1	0	0	0	0	0	0	0	0	0	0	0
A0A0H4MBS1	1	0	0	0	0	0	0	0	0	0	0	0
A0A0K1CVP8	1	0	0	0	0	0	0	0	0	0	0	0
A0A0K1H186	1	0	0	0	0	0	0	0	0	0	0	0
A0A0K1SB46	1	0	0	0	0	0	0	0	0	0	0	0
A0A0K1SB51	1	0	0	0	0	0	0	0	0	0	0	0
A0A0K1SB69	1	0	0	0	0	0	0	0	0	0	0	0
A0A0K1SBD7	1	0	0	0	0	0	0	0	0	0	0	0
A0A0K1SBE8	1	0	0	0	0	0	0	0	0	0	0	0
A0A0K2S4Q7	1	0	0	0	0	0	0	0	0	0	0	0
A0A0K2S4S0	1	0	0	0	0	0	0	0	0	0	0	0
A0A0N7KW38	1	0	0	0	0	0	0	0	0	0	0	0
A0A0N9DZS1	1	0	0	0	0	0	0	0	0	0	0	0
A0A0R7LJI3	1	0	0	0	0	0	0	0	0	0	0	0
A0A0S2RR82	1	0	0	0	0	0	0	0	0	0	0	0
A0A0S2RR86	1	0	0	0	0	0	0	0	0	0	0	0
A0A0S2RR89	1	0	0	0	0	0	0	0	0	0	0	0
A0A0S2RR90	1	0	0	0	0	0	0	0	0	0	0	0
A0A0S2RR99	1	0	0	0	0	0	0	0	0	0	0	0
A0A0S2RRA5	1	0	0	0	0	0	0	0	0	0	0	0
A0A0S2RRA6	1	0	0	0	0	0	0	0	0	0	0	0
A0A0S2RRA7	1	0	0	0	0	0	0	0	0	0	0	0
A0A0S2RRA8	1	0	0	0	0	0	0	0	0	0	0	0
A0A0S2RRF0	1	0	0	0	0	0	0	0	0	0	0	0
A0A0S2RRF3	1	0	0	0	0	0	0	0	0	0	0	0
A0A0S2RRH9	1	0	0	0	0	0	0	0	0	0	0	0
A0A0S2RRT4	1	0	0	0	0	0	0	0	0	0	0	0
A0A0U3E4L5	1	0	0	0	0	0	0	0	0	0	0	0
A0A0U3SCP3	1	0	0	0	0	0	0	0	0	0	0	0
A0A128ATR4	1	0	0	0	0	0	0	0	0	0	0	0
A0A128ATR8	1	0	0	0	0	0	0	0	0	0	0	0
A0A128ATR9	1	0	0	0	0	0	0	0	0	0	0	0
A0A128ATT6	1	0	0	0	0	0	0	0	0	0	0	0
A0A139ZPC7	1	0	0	0	0	0	0	0	0	0	0	0
A0A140JWM8	1	0	0	0	0	0	0	0	0	0	0	0
A0A142C269	1	0	0	0	0	0	0	0	0	0	0	0
A0A142C272	1	0	0	0	0	0	0	0	0	0	0	0
A0A142C273	1	0	0	0	0	0	0	0	0	0	0	0
A0A142C276	1	0	0	0	0	0	0	0	0	0	0	0
A0A142C277	1	0	0	0	0	0	0	0	0	0	0	0
A0A142FJX3	1	0	0	0	0	0	0	0	0	0	0	0
A0A142I795	1	0	0	0	0	0	0	0	0	0	0	0
A0A142I7H7	1	0	0	0	0	0	0	0	0	0	0	0
A0A142I7P3	1	0	0	0	0	0	0	0	0	0	0	0
A0A160CBM4	1	0	0	0	0	0	0	0	0	0	0	0
A0A168L4G8	1	0	0	0	0	0	0	0	0	0	0	0
A0A173QMW1	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U544	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U555	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U564	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U571	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U577	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U585	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U587	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U595	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U597	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5A5	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5A7	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5B4	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5B8	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5C4	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5D1	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5D5	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5D8	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5E1	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5E5	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5F1	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5F2	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5F8	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5F9	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5G4	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5H0	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5H4	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5H5	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5I0	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5J1	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5J5	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5J6	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5K0	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5K6	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5K7	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5K8	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5L6	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5L7	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5L9	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5M6	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5M7	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5N5	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5N7	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5P5	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5P8	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5Q3	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5Q6	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5Q9	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5R5	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5S0	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5S5	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5S8	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5T8	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5T9	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5U0	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5U8	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5U9	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5V3	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5V9	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5W3	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5X0	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5X3	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5X4	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5X8	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5Y0	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5Y1	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5Y2	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5Y7	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5Z0	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5Z1	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5Z3	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5Z4	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U5Z9	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U600	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U603	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U604	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U605	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U606	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U609	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U611	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U612	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U613	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U614	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U618	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U620	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U621	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U622	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U623	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U624	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U626	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U628	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U630	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U632	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U633	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U634	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U635	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U636	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U639	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U642	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U643	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U645	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U646	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U647	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U648	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U651	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U653	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U655	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U656	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U657	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U658	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U659	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U661	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U665	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U666	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U669	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U670	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U672	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U675	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U676	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U677	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U678	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U679	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U683	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U685	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U686	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U687	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U688	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U691	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U693	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U696	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U697	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U699	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6A1	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6A2	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6A4	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6A6	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6A8	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6A9	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6B1	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6B3	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6B5	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6B7	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6B8	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6B9	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6C0	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6C4	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6C5	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6C6	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6C7	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6C9	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6D4	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6D5	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6D6	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6D7	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6D8	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6E2	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6E3	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6E4	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6E5	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6E6	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6E7	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6F0	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6F1	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6F2	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6F4	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6F5	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6F8	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6F9	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6G0	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6G2	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6G4	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6G6	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6G9	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6H0	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6H1	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6H7	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6H8	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6H9	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6I0	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6I1	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6I2	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6I8	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6I9	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6J0	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6J1	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6J2	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6J7	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6J8	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6J9	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6K0	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6K1	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6K3	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6K8	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6K9	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6L0	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6L1	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6L2	1	0	0	0	0	0	0	0	0	0	0	0
A0A178U6L7	1	0	0	0	0	0	0	0	0	0	0	0
