whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	0469(IntAct)	0471(MINT)	0486(UniProt)	1263(Molecular Connections)	IMEx	missing_protein_evidence
G4RZC8	0	0	uniprotkb	6239	1	0	0	0	1	0
G4S034	0	0	uniprotkb	6239	1	0	0	0	1	0
G4SGI5	0	0	uniprotkb	6239	1	0	0	0	1	0
G4SLH0	1	1	uniprotkb	6239	1	0	0	0	1	0
G4SPY0	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EBE2	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EBE3	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EBE5	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EBF1	1	1	0	0	0	0	0	0	0	1
G5EBF5	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EBG0	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EBG1	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EBG3	0	0	uniprotkb	6239	0	1	0	0	1	0
G5EBG4	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EBG6	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EBG8	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EBH0	1	1	0	0	0	0	0	0	0	0
G5EBH3	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EBH4	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EBH7	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EBI4	1	1	0	0	0	0	0	0	0	0
G5EBJ7	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EBK0	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EBK1	1	1	0	0	0	0	0	0	0	0
G5EBK3	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EBK4	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EBK5	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EBK8	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EBL2	1	1	uniprotkb	6239	1	0	0	0	1	0
G5EBL8	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EBM1	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EBM6	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EBN5	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EBN8	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EBN9	1	1	0	0	0	0	0	0	0	0
G5EBP4	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EBP5	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EBQ3	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EBR0	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EBR1	0	0	uniprotkb	6239	1	0	0	0	1	0
