whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	X0469.IntAct.	X0471.MINT.	X0486.UniProt.	X0903.mpidb.	X0974.InnateDB.	X1222.mbinfo.	X1262.I2D.	X1263.Molecular.Connections.	X1332.bhf.ucl.	X1335.HPIDb.	IMEx	missing_protein_evidence	BioGRID_from_Mentha
A0A024R0L9	0	0	uniprotkb	9606	1	0	0	0	0	0	0	0	0	0	1	0	0
A0A024R0Y4	0	0	uniprotkb	9606	1	0	0	0	0	0	0	0	0	0	1	0	0
A0A024R1V6	0	0	uniprotkb	9606	1	0	0	0	0	0	0	0	0	0	1	0	0
A0A024R2Q0	0	0	uniprotkb	9606	0	1	0	0	0	0	0	0	0	0	1	0	0
A0A024R2X5	0	0	uniprotkb	9606	1	0	0	0	0	0	0	0	0	0	1	0	0
A0A024R493	0	0	uniprotkb	9606	1	0	0	0	0	0	0	0	0	0	1	0	0
A0A024R4Q5	0	0	uniprotkb	9606	1	0	0	0	0	0	0	0	0	0	1	0	0
A0A024R4S4	0	0	uniprotkb	9606	1	0	0	0	0	0	0	0	0	0	1	0	0
A0A024R571	0	0	uniprotkb	9606	1	0	0	0	0	0	0	0	0	0	1	0	0
A0A024R5S0	0	0	uniprotkb	9606	1	0	0	0	0	0	0	0	0	0	1	0	0
A0A024R6G0	0	0	uniprotkb	9606	1	0	0	0	0	0	0	0	0	0	1	0	0
A0A024R7E8	0	0	uniprotkb	9606	1	0	0	0	0	0	0	0	0	0	1	0	0
A0A024R9F6	0	0	uniprotkb	9606	1	0	0	0	0	0	0	0	0	0	1	0	0
A0A024RA76	0	0	uniprotkb	9606	1	0	0	0	0	0	0	0	0	0	1	0	0
A0A024RB15	0	0	uniprotkb	9606	1	0	0	0	0	0	0	0	0	0	1	0	0
A0A024RC46	0	0	uniprotkb	9606	1	0	0	0	0	0	0	0	0	0	1	0	0
A0A024RCG2	0	0	uniprotkb	9606	1	0	0	0	0	0	0	0	0	0	1	0	0
A0A024RCN4	0	0	uniprotkb	9606	1	0	0	0	0	0	0	0	0	0	1	0	0
A0A024RDU4	0	0	uniprotkb	9606	1	0	0	0	0	0	0	0	0	0	1	0	0
A0A075B6P5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A0A075B6S6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A0A075B739	0	0	uniprotkb	9606	1	0	0	0	0	0	0	0	0	0	1	0	0
A0A075B759	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A0A087WSW0	0	0	uniprotkb	9606	1	0	0	0	0	0	0	0	0	0	1	0	0
A0A087WT08	0	0	uniprotkb	9606	1	0	0	0	0	0	0	0	0	0	1	0	0
A0A087WTH1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A0A087WTH5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A0A087WTJ2	0	0	uniprotkb	9606	1	0	0	0	0	0	0	0	0	0	1	0	0
A0A087WUI6	0	0	uniprotkb	9606	1	0	0	0	0	0	0	0	0	0	1	0	0
A0A087WUL8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
