whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	X0469.IntAct.	X0471.MINT.	X0486.UniProt.	X0903.mpidb.	X1263.Molecular.Connections.	X1335.HPIDb.	IMEx	missing_protein_evidence	BioGRID_from_Mentha
A0A097PLC6	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A097PLD1	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A097PLL3	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A097PLR4	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A097PLX2	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A097PM28	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A097PM80	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A097PMD7	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A097PMI5	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A097PMM0	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A097PMS4	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A097PMZ7	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A097PN41	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A097PN92	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A097PND6	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A097PNI8	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A097PNP0	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A097PNY5	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A097PP41	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A097PP44	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A097PPA4	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A097PPH7	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A097PPM7	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A097PPU5	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A097PQ06	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A097PQ23	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A097PQ70	1	0	0	0	0	0	0	0	0	0	0	1	0
