whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	0469(IntAct)	0471(MINT)	0486(UniProt)	0903(mpidb)	0974(InnateDB)	1222(mbinfo)	1262(I2D)	1263(Molecular Connections)	1332(bhf-ucl)	1335(HPIDb)	IMEx	missing_protein_evidence
A0A068EWW2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A068F126	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A068WAQ5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A068WAZ7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5I0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5I2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5I3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A075B5I8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5I9	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5J0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5J2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5J3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5J4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5J5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5J6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5J7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5J8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5J9	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5K0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5K1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5K2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A075B5K3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5K5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A075B5K6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5K7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5K8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5K9	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5L0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5L1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5L2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5L3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5L4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5L5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5L6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5L7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5L8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
