whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	0469(IntAct)	0471(MINT)	0486(UniProt)	0903(mpidb)	1263(Molecular Connections)	1335(HPIDb)	IMEx
B3H5K9	1	1	0	0	0	0	0	0	0	0	0
B3H5L1	1	1	0	0	0	0	0	0	0	0	0
B3H5Q1	1	1	0	0	0	0	0	0	0	0	0
B3H5R0	1	1	0	0	0	0	0	0	0	0	0
B3H5R8	1	1	0	0	0	0	0	0	0	0	0
B3H615	1	1	0	0	0	0	0	0	0	0	0
B3H672	1	1	0	0	0	0	0	0	0	0	0
B3H6C3	1	1	0	0	0	0	0	0	0	0	0
B3H6D0	1	1	0	0	0	0	0	0	0	0	0
B3H6K1	1	1	0	0	0	0	0	0	0	0	0
B3H6X4	0	0	uniprotkb	3702	1	0	0	0	0	0	1
B3H6Y2	1	1	0	0	0	0	0	0	0	0	0
B3H6Z8	1	1	0	0	0	0	0	0	0	0	0
B3H707	1	1	0	0	0	0	0	0	0	0	0
B3H7A9	1	1	0	0	0	0	0	0	0	0	0
B3H7G2	1	1	0	0	0	0	0	0	0	0	0
B3LF48	1	1	0	0	0	0	0	0	0	0	0
B3LF83	1	1	0	0	0	0	0	0	0	0	0
B3LFA3	1	1	0	0	0	0	0	0	0	0	0
B3LFA4	1	1	0	0	0	0	0	0	0	0	0
B4F7N8	0	0	uniprotkb	3702	1	0	0	0	0	0	1
B4F7R9	0	0	uniprotkb	3702	1	0	0	0	0	0	1
B5BT18	1	1	0	0	0	0	0	0	0	0	0
B5TYT3	1	1	0	0	0	0	0	0	0	0	0
B5X0I6	1	1	uniprotkb	3702	1	0	0	0	0	0	1
B5X0N6	1	1	0	0	0	0	0	0	0	0	0
B5X4Z4	1	1	0	0	0	0	0	0	0	0	0
B5X570	1	1	0	0	0	0	0	0	0	0	0
B5X582	1	1	0	0	0	0	0	0	0	0	0
B6ETT4	1	1	0	0	0	0	0	0	0	0	0
B6EUA9	1	1	0	0	0	0	0	0	0	0	0
B6EXY6	1	1	0	0	0	0	0	0	0	0	0
B6IDH3	1	1	0	0	0	0	0	0	0	0	0
B6SFA4	1	1	0	0	0	0	0	0	0	0	0
B7SY83	1	1	0	0	0	0	0	0	0	0	0
B7U179	1	1	uniprotkb	3702	1	1	0	0	0	0	1
B7ZWR6	1	1	uniprotkb	3702	0	1	0	0	0	0	1
B8XCH5	1	1	0	0	0	0	0	0	0	0	0
B9DFA8	1	1	0	0	0	0	0	0	0	0	0
B9DFC1	0	0	uniprotkb	3702	0	1	0	0	0	0	1
B9DFC8	0	0	uniprotkb	3702	1	0	0	0	0	0	1
B9DFG3	1	1	0	0	0	0	0	0	0	0	0
B9DFG5	1	1	uniprotkb	3702	1	0	0	0	0	0	1
B9DFI7	1	1	uniprotkb	3702	1	0	0	0	0	0	1
B9DFK5	1	1	0	0	0	0	0	0	0	0	0
B9DFR3	1	1	0	0	0	0	0	0	0	0	0
B9DFS6	1	1	uniprotkb	3702	0	0	1	0	0	0	1
B9DFU2	1	1	0	0	0	0	0	0	0	0	0
B9DFX7	1	1	0	0	0	0	0	0	0	0	0
B9DFZ0	1	1	0	0	0	0	0	0	0	0	0
B9DG24	1	1	uniprotkb	3702	1	0	0	0	0	0	1
B9DG86	0	0	uniprotkb	3702	0	1	0	0	0	0	1
B9DGA1	0	0	uniprotkb	3702	1	0	0	0	0	0	1
B9DGD1	0	0	uniprotkb	3702	0	1	0	0	0	0	1
B9DGD6	1	1	0	0	0	0	0	0	0	0	0
B9DGG8	1	1	0	0	0	0	0	0	0	0	0
B9DGI8	1	1	uniprotkb	3702	1	1	0	0	0	0	1
B9DGK6	0	0	uniprotkb	3702	1	0	0	0	0	0	1
B9DGT7	1	1	0	0	0	0	0	0	0	0	0
B9DGU7	1	1	0	0	0	0	0	0	0	0	0
B9DHA6	1	1	0	0	0	0	0	0	0	0	0
B9DHD3	1	1	0	0	0	0	0	0	0	0	0
B9DHD7	1	1	0	0	0	0	0	0	0	0	0
B9DHQ0	1	1	0	0	0	0	0	0	0	0	0
B9DHT4	1	1	0	0	0	0	0	0	0	0	0
B9DI20	1	1	0	0	0	0	0	0	0	0	0
B9TSP7	1	1	0	0	0	0	0	0	0	0	0
C0LGD6	1	1	0	0	0	0	0	0	0	0	0
C0LGD7	1	1	0	0	0	0	0	0	0	0	0
C0LGD8	1	1	0	0	0	0	0	0	0	0	0
C0LGD9	1	1	0	0	0	0	0	0	0	0	0
C0LGE0	1	1	0	0	0	0	0	0	0	0	0
C0LGE4	1	1	0	0	0	0	0	0	0	0	0
C0LGF4	1	1	0	0	0	0	0	0	0	0	0
C0LGF5	1	1	0	0	0	0	0	0	0	0	0
C0LGG3	1	1	0	0	0	0	0	0	0	0	0
C0LGG4	1	1	0	0	0	0	0	0	0	0	0
C0LGG6	1	1	0	0	0	0	0	0	0	0	0
C0LGG7	1	1	0	0	0	0	0	0	0	0	0
C0LGG8	1	1	0	0	0	0	0	0	0	0	0
C0LGG9	1	1	0	0	0	0	0	0	0	0	0
C0LGH2	1	1	0	0	0	0	0	0	0	0	0
C0LGH3	1	1	0	0	0	0	0	0	0	0	0
C0LGH4	0	0	uniprotkb	3702	1	0	0	0	0	0	1
C0LGH8	1	1	0	0	0	0	0	0	0	0	0
C0LGI2	1	1	0	0	0	0	0	0	0	0	0
C0LGI5	1	1	0	0	0	0	0	0	0	0	0
C0LGJ1	1	1	0	0	0	0	0	0	0	0	0
C0LGJ9	1	1	0	0	0	0	0	0	0	0	0
C0LGK4	1	1	0	0	0	0	0	0	0	0	0
C0LGK9	1	1	0	0	0	0	0	0	0	0	0
C0LGL4	1	1	0	0	0	0	0	0	0	0	0
C0LGL9	1	1	0	0	0	0	0	0	0	0	0
C0LGN2	1	1	0	0	0	0	0	0	0	0	0
C0LGP2	1	1	0	0	0	0	0	0	0	0	0
C0LGP4	1	1	0	0	0	0	0	0	0	0	0
C0LGP9	1	1	0	0	0	0	0	0	0	0	0
C0LGQ4	1	1	0	0	0	0	0	0	0	0	0
C0LGQ5	1	1	0	0	0	0	0	0	0	0	0
C0LGQ7	1	1	0	0	0	0	0	0	0	0	0
C0LGQ9	1	1	0	0	0	0	0	0	0	0	0
C0LGR3	1	1	0	0	0	0	0	0	0	0	0
C0LGR6	1	1	0	0	0	0	0	0	0	0	0
C0LGR9	1	1	0	0	0	0	0	0	0	0	0
C0LGS2	1	1	0	0	0	0	0	0	0	0	0
C0LGS3	1	1	0	0	0	0	0	0	0	0	0
C0LGT1	1	1	0	0	0	0	0	0	0	0	0
C0LGT5	1	1	0	0	0	0	0	0	0	0	0
C0LGT6	1	1	uniprotkb	3702	0	1	0	0	0	0	1
C0LGU0	1	1	0	0	0	0	0	0	0	0	0
C0LGU1	1	1	0	0	0	0	0	0	0	0	0
C0LGU5	1	1	0	0	0	0	0	0	0	0	0
C0LGU7	1	1	0	0	0	0	0	0	0	0	0
C0LGV0	1	1	0	0	0	0	0	0	0	0	0
C0LGV1	1	1	0	0	0	0	0	0	0	0	0
C0LGW2	1	1	0	0	0	0	0	0	0	0	0
C0LGW6	1	1	0	0	0	0	0	0	0	0	0
C0LGX1	1	1	0	0	0	0	0	0	0	0	0
C0LGX3	1	1	0	0	0	0	0	0	0	0	0
C0LU16	1	1	0	0	0	0	0	0	0	0	0
C0SUT9	1	1	0	0	0	0	0	0	0	0	0
C0SUU6	1	1	0	0	0	0	0	0	0	0	0
C0SUW7	1	1	0	0	0	0	0	0	0	0	0
C0SV51	1	1	0	0	0	0	0	0	0	0	0
C0SVG5	1	1	0	0	0	0	0	0	0	0	0
C0SVM5	1	1	uniprotkb	3702	1	0	0	0	0	0	1
C0SVS4	1	1	0	0	0	0	0	0	0	0	0
C0SVV6	1	1	0	0	0	0	0	0	0	0	0
C0Z2L5	1	1	uniprotkb	3702	1	1	0	0	0	0	1
C0Z361	1	1	0	0	0	0	0	0	0	0	0
C4B7M5	1	0	0	0	0	0	0	0	0	0	0
C4B7M6	1	0	0	0	0	0	0	0	0	0	0
C4B7M7	1	0	0	0	0	0	0	0	0	0	0
C4B8C4	1	1	0	0	0	0	0	0	0	0	0
C4B8C5	1	1	0	0	0	0	0	0	0	0	0
C5H8J1	1	1	0	0	0	0	0	0	0	0	0
C6KIE6	1	1	uniprotkb	3702	0	0	1	0	0	0	1
D0EL35	1	1	0	0	0	0	0	0	0	0	0
D1KF50	1	1	0	0	0	0	0	0	0	0	0
D2WL32	1	1	0	0	0	0	0	0	0	0	0
D3GKW6	1	1	0	0	0	0	0	0	0	0	0
D3K0M2	0	0	uniprotkb	3702	1	0	0	0	0	0	1
D5K211	1	0	0	0	0	0	0	0	0	0	0
D5K228	1	1	uniprotkb	3702	0	0	1	0	0	0	1
D7SFH9	1	1	0	0	0	0	0	0	0	0	0
D8WUA4	1	1	0	0	0	0	0	0	0	0	0
D9UBG0	1	0	0	0	0	0	0	0	0	0	0
D9UBI3	1	0	0	0	0	0	0	0	0	0	0
D9UBX4	1	0	0	0	0	0	0	0	0	0	0
D9UBX6	1	0	0	0	0	0	0	0	0	0	0
D9UC01	1	0	0	0	0	0	0	0	0	0	0
E0X9N4	1	1	0	0	0	0	0	0	0	0	0
E1B328	1	0	0	0	0	0	0	0	0	0	0
F1LIM0	0	0	uniprotkb	3702	0	1	0	0	0	0	1
F2Y4A3	1	1	0	0	0	0	0	0	0	0	0
F4HNU6	1	1	0	0	0	0	0	0	0	0	0
F4HNU8	1	1	uniprotkb	3702	1	0	0	0	0	0	1
F4HP88	1	1	0	0	0	0	0	0	0	0	0
F4HPA7	1	1	uniprotkb	3702	1	0	0	0	0	0	1
F4HPF1	1	1	0	0	0	0	0	0	0	0	0
F4HPH1	1	1	0	0	0	0	0	0	0	0	0
F4HPH2	1	1	0	0	0	0	0	0	0	0	0
F4HPN2	1	1	0	0	0	0	0	0	0	0	0
F4HPP7	1	1	0	0	0	0	0	0	0	0	0
F4HPR5	1	1	0	0	0	0	0	0	0	0	0
F4HPY8	1	1	0	0	0	0	0	0	0	0	0
F4HPZ9	1	1	0	0	0	0	0	0	0	0	0
F4HQ05	1	1	0	0	0	0	0	0	0	0	0
F4HQ17	1	1	0	0	0	0	0	0	0	0	0
F4HQ20	1	1	0	0	0	0	0	0	0	0	0
F4HQ22	1	1	0	0	0	0	0	0	0	0	0
F4HQ23	1	1	0	0	0	0	0	0	0	0	0
F4HQA1	1	1	uniprotkb	3702	1	0	0	0	0	0	1
F4HQD4	1	1	0	0	0	0	0	0	0	0	0
F4HQX1	1	1	0	0	0	0	0	0	0	0	0
F4HR03	1	1	uniprotkb	3702	1	0	0	0	0	0	1
F4HR11	1	1	0	0	0	0	0	0	0	0	0
F4HRC1	1	1	0	0	0	0	0	0	0	0	0
F4HRI2	1	1	0	0	0	0	0	0	0	0	0
F4HRL9	0	0	uniprotkb	3702	1	0	0	0	0	0	1
F4HRT5	1	1	0	0	0	0	0	0	0	0	0
F4HSD4	1	1	0	0	0	0	0	0	0	0	0
