Edge1-Edge2	KappaScore
GO:0006812 (term-term) GO:0006811	0.703912440750404
GO:0006812 (term-term-ontology) GO:0006811	2.0
GO:0006958 (term-term) GO:0002455	0.9636100258987759
GO:0006958 (term-term-ontology) GO:0002455	2.0
GO:0006959 (term-term) GO:0002455	0.7386592166624996
GO:0006959 (term-term) GO:0006958	0.7050740427802735
GO:0006959 (term-term-ontology) GO:0002455	2.0
GO:0009101 (term-term) GO:0009100	0.9331853661258426
GO:0009101 (term-term-ontology) GO:0009100	2.0
GO:0015672 (term-term) GO:0006811	0.4252845333839034
GO:0015672 (term-term) GO:0006812	0.6642365330093157
GO:0015672 (term-term) GO:0006814	0.5759908184778133
GO:0015672 (term-term-ontology) GO:0006812	2.0
GO:0015672 (term-term-ontology) GO:0006814	2.0
GO:0015698 (term-term) GO:0006821	0.788358437579781
GO:0015698 (term-term-ontology) GO:0006821	2.0
GO:0034220 (term-term) GO:0006811	0.7142364701826956
GO:0034220 (term-term) GO:0006812	0.6672902154984762
GO:0034220 (term-term) GO:0015672	0.4576122680889652
GO:0034220 (term-term-ontology) GO:0006811	2.0
GO:0035036 (term-term) GO:0007338	0.6438748478556591
GO:0035036 (term-term-ontology) GO:0007338	2.0
GO:0050909 (term-term) GO:0001580	0.8560013896126463
GO:0050912 (term-term) GO:0001580	0.9308417452239927
GO:0050912 (term-term) GO:0050909	0.9244068352999114
GO:0050912 (term-term-ontology) GO:0001580	2.0
GO:0050912 (term-term-ontology) GO:0050909	2.0
GO:0055085 (term-term) GO:0006811	0.6883714920060615
GO:0055085 (term-term) GO:0006812	0.5700751979448709
GO:0055085 (term-term) GO:0034220	0.7053181426566011
GO:0055085 (term-term-ontology) GO:0034220	2.0
GO:0070085 (term-term) GO:0009100	0.7824603757741159
GO:0070085 (term-term) GO:0009101	0.8445851646634868
GO:0071805 (term-term) GO:0015672	0.5220065346915242
GO:0098655 (term-term) GO:0006811	0.5331905583915665
GO:0098655 (term-term) GO:0006812	0.8018970239517655
GO:0098655 (term-term) GO:0015672	0.5797118206884282
GO:0098655 (term-term) GO:0034220	0.7910854964006705
GO:0098655 (term-term) GO:0055085	0.5256087372966158
GO:0098655 (term-term) GO:0071805	0.41572241799945764
GO:0098655 (term-term-ontology) GO:0006812	2.0
GO:0098655 (term-term-ontology) GO:0034220	2.0
GO:0098660 (term-term) GO:0006811	0.5651337646441685
GO:0098660 (term-term) GO:0006812	0.6423524378881426
GO:0098660 (term-term) GO:0015672	0.5338829106259296
GO:0098660 (term-term) GO:0034220	0.8297391661532142
GO:0098660 (term-term) GO:0055085	0.5572702886631287
GO:0098660 (term-term) GO:0098655	0.8196432024753434
GO:0098660 (term-term-ontology) GO:0034220	2.0
GO:0098661 (term-term) GO:0006821	0.8388919617897244
GO:0098661 (term-term) GO:0015698	0.8974745850750698
GO:0098661 (term-term-ontology) GO:0015698	2.0
GO:0098661 (term-term-ontology) GO:0098660	2.0
GO:0098742 (term-term) GO:0007156	0.8379403370215427
GO:0098742 (term-term-ontology) GO:0007156	2.0
GO:1902476 (term-term) GO:0006821	0.9717113120627879
GO:1902476 (term-term) GO:0015698	0.7614976778595212
GO:1902476 (term-term) GO:0098661	0.8606147685064889
GO:1902476 (term-term-ontology) GO:0006821	2.0
GO:1902476 (term-term-ontology) GO:0098661	2.0
