NAME	detection of chemical stimulus involved in sensory perception of bitter taste	humoral immune response mediated by circulating immunoglobulin	complement activation, classical pathway	G-protein coupled receptor signaling pathway	adenylate cyclase-activating serotonin receptor signaling pathway	neuropeptide signaling pathway	sensory perception	sensory perception of chemical stimulus	sensory perception of smell	detection of chemical stimulus	inorganic anion transport	neurological system process	detection of stimulus involved in sensory perception	detection of chemical stimulus involved in sensory perception	sensory perception of taste	detection of chemical stimulus involved in sensory perception of smell	detection of chemical stimulus involved in sensory perception of taste	transmembrane transport	inorganic anion transmembrane transport
detection of chemical stimulus involved in sensory perception of bitter taste	1.0	-0.029979300007137912	-0.029156542867062856	0.02300132051958601	-0.01436879917893052	-0.030239000798235494	0.05177635046407574	0.07427704332827549	-0.04629493792846422	0.0782175764265924	-0.03269888750025843	0.042626041542512316	0.07634790908990036	0.08014360905407841	0.8577141486043356	-0.04617364877924402	0.9316111175181652	-0.04597380764691282	-0.030491902036653418
humoral immune response mediated by circulating immunoglobulin	-0.029979300007137912	1.0	0.9642059515905119	-0.07666670811933383	-0.016235230450076653	-0.039889773187135075	-0.07560101693403322	-0.07420946084923193	-0.07353027613528126	-0.07396774277522211	-0.04428445641477182	-0.07617249489335037	-0.0740823577292413	-0.07384981042385862	-0.0354549519814314	-0.07322477103310028	-0.03256371407249951	-0.06763945627805067	-0.04033103869109894
complement activation, classical pathway	-0.029156542867062856	0.9642059515905119	1.0	-0.07150650816098772	-0.015990862364364738	-0.03844623099578254	-0.07057857778068592	-0.06936428718564018	-0.06877054104675395	-0.06915305757539655	-0.042512386127538035	-0.07107639736392476	-0.06925322707992883	-0.06904996768597571	-0.03430993751793801	-0.06850323562070662	-0.031595279514786016	-0.06806429010501505	-0.0388559730724557
G-protein coupled receptor signaling pathway	0.02300132051958601	-0.07666670811933383	-0.07150650816098772	1.0	0.014840743419542345	0.05733220887970076	0.4442063660103042	0.5570750300004669	0.5292640026533203	0.5636139311322123	-0.06779961143353097	0.36585177051408146	0.5579684130042177	0.5757171921296612	0.019520805559072537	0.5439857248458625	0.027991796875968637	-0.618487245673865	-0.05355067793700116
adenylate cyclase-activating serotonin receptor signaling pathway	-0.01436879917893052	-0.016235230450076653	-0.015990862364364738	0.014840743419542345	1.0	-0.016311092725018118	0.02221950557723921	0.03208709143794072	0.037001840468658266	0.03382868921407441	-0.01700096935351696	0.018243791592273895	0.03300184711830903	0.03468141357932069	-0.0155174221507695	0.03923414286725783	-0.014936984596233396	-0.02000415647813634	-0.01638439415506981
neuropeptide signaling pathway	-0.030239000798235494	-0.039889773187135075	-0.03844623099578254	0.05733220887970076	-0.016311092725018118	1.0	-0.05964327021136782	-0.07582134986673018	-0.07511248076373388	-0.0755690349820853	0.016011769334722564	-0.05534907190875882	-0.07568867015292388	-0.07544594548738232	-0.03581875960182695	-0.07479371515458659	-0.03287034969407258	-0.0590328783667457	0.003963236265499084
sensory perception	0.05177635046407574	-0.07560101693403322	-0.07057857778068592	0.4442063660103042	0.02221950557723921	-0.05964327021136782	1.0	0.8158813940852286	0.7468742879721736	0.7729872402646932	-0.078050504840468	0.9007508857728849	0.8021155467080149	0.7779825761393909	0.06836744713328033	0.7191464538095664	0.05915324417085117	-0.49279081947100856	-0.06131804816848577
sensory perception of chemical stimulus	0.07427704332827549	-0.07420946084923193	-0.06936428718564018	0.5570750300004669	0.03208709143794072	-0.07582134986673018	0.8158813940852286	1.0	0.9276195939739954	0.9516449067236864	-0.08919365890232568	0.7217175052337264	0.9357113818077786	0.960485944736053	0.0977165773657498	0.8979900902201592	0.08472034079890156	-0.4978046563007138	-0.07315613587942003
sensory perception of smell	-0.04629493792846422	-0.07353027613528126	-0.06877054104675395	0.5292640026533203	0.037001840468658266	-0.07511248076373388	0.7468742879721736	0.9276195939739954	1.0	0.8960202785220552	-0.08776470679678086	0.6562607636409461	0.883691638191263	0.9084427234352662	-0.06079363891045085	0.9701500989438647	-0.052761226192405954	-0.48234401354449324	-0.07205159008111815
detection of chemical stimulus	0.0782175764265924	-0.07396774277522211	-0.06915305757539655	0.5636139311322123	0.03382868921407441	-0.0755690349820853	0.7729872402646932	0.9516449067236864	0.8960202785220552	1.0	-0.09306534965073733	0.6871327140571941	0.9622527697367423	0.9873364430383994	0.08954287187188312	0.9246475359282459	0.08918924993818768	-0.503722185479245	-0.07716853081132091
